a_nm	r_nm	w_nm	th_nm	midGap_GHz	gapSize_GHz	gapRatio	penalty	fitness	objective	cached	evalTime_min	status	backend
881	203	104	346	NaN	NaN	NaN	NaN	NaN	NaN	0	0.001	solver-error	comsol
670	111	59	305	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
988	221	76	333	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
923	192	111	307	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
906	107	68	294	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
765	145	110	293	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
699	234	59	295	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
620	167	82	288	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
995	194	55	343	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
714	217	65	329	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
971	129	62	276	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
715	187	63	325	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
994	147	93	330	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
606	105	51	289	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
762	189	75	334	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
774	139	66	294	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
606	220	83	314	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
929	206	118	313	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
694	235	68	332	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
942	162	57	288	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
702	167	63	343	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
961	114	102	285	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
896	154	110	278	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
945	125	59	337	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
937	154	58	299	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
790	166	99	333	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
885	207	78	307	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
755	169	117	331	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
882	247	112	284	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
695	122	66	332	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
634	236	91	279	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
920	249	119	290	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
942	119	57	302	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
790	208	60	338	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
765	179	111	322	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
742	218	73	299	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
917	137	65	332	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
746	165	79	341	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
813	249	54	350	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
652	243	50	291	NaN	NaN	NaN	NaN	NaN	NaN	0	0.000	solver-error	comsol
