a_nm	r_nm	w_nm	th_nm	midGap_GHz	gapSize_GHz	gapRatio	penalty	fitness	objective	cached	evalTime_min	status	backend
955	158	89	277	NaN	NaN	0	0	0	-0	0	0.002	no-complete-gap	surrogate-SYNTHETIC
762	151	107	289	NaN	NaN	0	0	0	-0	0	0.000	no-complete-gap	surrogate-SYNTHETIC
648	203	115	323	NaN	NaN	0	0	0	-0	0	0.000	no-complete-gap	surrogate-SYNTHETIC
890	189	79	340	11.1401	0.86885	0.0779932	0.870773	0.0679144	-0.0679144	0	0.000	nearest-gap	surrogate-SYNTHETIC
665	188	79	300	14.4566	0.883047	0.0610825	0.918632	0.0561124	-0.0561124	0	0.000	nearest-gap	surrogate-SYNTHETIC
807	226	98	302	12.2144	1.61839	0.132498	0.975618	0.129268	-0.129268	0	0.000	target-in-gap	surrogate-SYNTHETIC
686	205	118	281	NaN	NaN	0	0	0	-0	0	0.000	no-complete-gap	surrogate-SYNTHETIC
961	205	115	341	9.96164	0.0478249	0.0048009	0.691243	0.00331859	-0.00331859	0	0.000	nearest-gap	surrogate-SYNTHETIC
995	229	59	330	NaN	NaN	0	0	0	-0	0	0.000	no-complete-gap	surrogate-SYNTHETIC
859	228	92	344	11.7005	1.88241	0.160883	0.934682	0.150374	-0.150374	0	0.000	nearest-gap	surrogate-SYNTHETIC
911	247	93	345	10.9322	1.45617	0.1332	0.84279	0.11226	-0.11226	0	0.000	nearest-gap	surrogate-SYNTHETIC
925	220	90	347	10.9268	1.65604	0.151559	0.842035	0.127618	-0.127618	0	0.000	nearest-gap	surrogate-SYNTHETIC
941	231	91	278	10.2105	0.126349	0.0123744	0.732532	0.00906465	-0.00906465	0	0.000	nearest-gap	surrogate-SYNTHETIC
806	219	94	333	12.3746	1.90744	0.154142	0.984475	0.151749	-0.151749	0	0.000	target-in-gap	surrogate-SYNTHETIC
783	235	92	329	12.0649	0.251227	0.020823	0.965625	0.0201072	-0.0201072	0	0.000	nearest-gap	surrogate-SYNTHETIC
682	224	97	347	NaN	NaN	0	0	0	-0	0	0.000	no-complete-gap	surrogate-SYNTHETIC
844	219	95	333	12.0907	2.47336	0.204567	0.967468	0.197912	-0.197912	0	0.000	target-in-gap	surrogate-SYNTHETIC
853	213	97	336	11.9636	2.39488	0.200181	0.957944	0.191762	-0.191762	0	0.000	target-in-gap	surrogate-SYNTHETIC
854	216	95	323	12.0756	2.74955	0.227695	0.966394	0.220043	-0.220043	0	0.000	target-in-gap	surrogate-SYNTHETIC
852	214	92	315	12.1351	2.79519	0.230339	0.970521	0.223549	-0.223549	0	0.000	target-in-gap	surrogate-SYNTHETIC
849	218	55	309	11.4309	0.116958	0.0102317	0.906216	0.00927214	-0.00927214	0	0.000	nearest-gap	surrogate-SYNTHETIC
848	212	96	312	12.1309	2.68536	0.221365	0.970241	0.214777	-0.214777	0	0.000	target-in-gap	surrogate-SYNTHETIC
863	217	93	312	11.9354	2.62825	0.220207	0.955673	0.210446	-0.210446	0	0.000	target-in-gap	surrogate-SYNTHETIC
840	212	89	327	12.3072	2.81448	0.228686	0.980983	0.224337	-0.224337	0	0.000	target-in-gap	surrogate-SYNTHETIC
849	216	89	323	12.1832	2.80287	0.23006	0.973669	0.224002	-0.224002	0	0.000	target-in-gap	surrogate-SYNTHETIC
848	214	91	325	12.1946	2.81455	0.230803	0.974385	0.224891	-0.224891	0	0.000	target-in-gap	surrogate-SYNTHETIC
833	207	89	315	12.459	2.96354	0.237863	0.988362	0.235095	-0.235095	0	0.000	target-in-gap	surrogate-SYNTHETIC
820	207	90	317	12.6369	3.01706	0.23875	0.99474	0.237495	-0.237495	0	0.000	target-in-gap	surrogate-SYNTHETIC
805	204	87	315	12.8872	3.10151	0.240666	0.999491	0.240543	-0.240543	0	0.000	target-in-gap	surrogate-SYNTHETIC
802	198	88	307	12.9209	3.04576	0.235724	0.99975	0.235665	-0.235665	0	0.000	target-in-gap	surrogate-SYNTHETIC
804	194	87	318	12.8774	2.94737	0.228879	0.999399	0.228742	-0.228742	0	0.000	target-in-gap	surrogate-SYNTHETIC
804	199	81	313	12.939	3.07493	0.237649	0.999851	0.237614	-0.237614	0	0.000	target-in-gap	surrogate-SYNTHETIC
812	204	86	308	12.7809	3.04613	0.238334	0.998082	0.237877	-0.237877	0	0.000	target-in-gap	surrogate-SYNTHETIC
775	197	83	311	13.3716	3.17228	0.237239	0.994491	0.235932	-0.235932	0	0.000	target-in-gap	surrogate-SYNTHETIC
803	201	84	316	12.9451	3.1179	0.240856	0.99988	0.240827	-0.240827	0	0.000	target-in-gap	surrogate-SYNTHETIC
771	193	77	291	13.3322	2.74881	0.206179	0.995596	0.205271	-0.205271	0	0.000	target-in-gap	surrogate-SYNTHETIC
761	186	71	329	13.3128	2.09351	0.157255	0.996093	0.156641	-0.156641	0	0.000	target-in-gap	surrogate-SYNTHETIC
798	199	87	310	13.0076	3.13346	0.240895	0.999998	0.240894	-0.240894	0	0.000	target-in-gap	surrogate-SYNTHETIC
796	202	84	313	13.0435	3.1362	0.240443	0.999924	0.240425	-0.240425	0	0.000	target-in-gap	surrogate-SYNTHETIC
796	151	51	286	NaN	NaN	0	0	0	-0	0	0.000	no-complete-gap	surrogate-SYNTHETIC
