% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 12:28
% Dimension:          3
% Nodes:              305
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1.2E-11                    ewfd.normE (V/m) @ lambda=1.2E-11
-3.3087224502121107E-24   3.11640147700064E-7      -1.1976618988071797E-8   -5408728.802685638+1018939.2369945217i            7855595.298387456
8.271806125530277E-25     3.251713317899763E-7     -4.5402139950156244E-8   -5492010.02071649+1066529.781058028i              8228383.234142925
3.3087224502121107E-24    3.341587528859366E-7     2.3248404524220318E-23   -4810101.358015823+1189294.9771935958i            7381056.888679415
3.3087224502121107E-24    2.1377803373446657E-7    -8.98969548131277E-8     -7927444.218424574-17506.250895068377i            1.0488361490096167E7
3.3087224502121107E-24    2.873933361043472E-7     -1.114077343861201E-7    -7188021.635817778+407457.93404516764i            1.2514606021168776E7
0                         3.182396563385692E-7     -6.343381124083152E-8    -6128867.436079234+884328.4852686664i             9215713.486036474
-1.6543612251060553E-24   1.99411942363288E-7      -1.1418858509067949E-7   -9122828.989019955-476278.299590726i              1.1651635861404883E7
0                         2.1845653395423077E-7    -1.6518554386307116E-7   -1.0083452540196707E7-772365.4919979797i          1.5426695917325169E7
3.3087224502121107E-24    2.4663417250518805E-7    -1.4426116112124456E-7   -9207968.526230091-416761.4082339072i             1.4376749620020214E7
-1.0339757656912846E-25   1.1513907745767914E-7    -2.0461885748524736E-7   -1.151667922976402E7-1676949.537300004i           1.493816126183855E7
4.1359030627651384E-25    2.5720174943636357E-7    5.1192065844283316E-8    -6946192.1353244195+372020.6427373769i            8948903.184862185
0                         2.538559103127853E-7     5.584570174921412E-8     -7168548.004496796+316752.5214655927i             9164626.887196016
0                         3.24970696555981E-7      5.0869258428683064E-8    -5458520.361350879+1097622.35132069i              8210586.869519122
0                         3.258812924319995E-7     4.569473248067654E-8     -5372788.217336357+1116624.1281477544i            8006054.007086209
-3.3087224502121107E-24   2.951442792554136E-7     1.024258598957873E-7     -6619646.459912353+642862.2662999595i             1.1535873944636377E7
0                         3.221038368927431E-7     5.584714369209338E-8     -5610626.595333474+1022209.6602870754i            8480281.529246172
0                         2.5315329523993733E-7    6.001853845885086E-8     -7005400.520561532+370316.67185033456i            9053818.009839822
0                         2.5085145295922413E-7    5.462592438847495E-8     -6997400.769871594+347183.43516964564i            9149243.80947176
-1.6543612251060553E-24   1.8936295177487544E-7    -5.345153217925148E-8    -7449302.065718326-48738.98482397508i             9122084.01473652
0                         3.0382501758412077E-7    -4.485991782714857E-8    -6032194.668028067+835001.1201758198i             8594457.347695166
0                         3.232695709983424E-7     -5.53045889386516E-8     -5620411.464684369+1083097.7119480968i            8576114.469776802
3.3087224502121107E-24    2.3887937212247125E-7    -7.0981566033776E-9      -6872843.357497548+166028.1407311143i             9049250.530140169
0                         2.1590675670731769E-7    1.6443578411235084E-7    -1.1209912415257568E7-546281.0461079404i          1.657914175273145E7
8.271806125530277E-25     2.0626333866638028E-7    1.6851892779815737E-7    -1.1830668282711726E7-787520.1724026123i          1.678556898617196E7
8.271806125530277E-25     2.478102917674804E-7     5.7999085052770066E-8    -7181724.56059847+177532.50382975672i             9245529.69287945
8.271806125530277E-25     2.0848700466590606E-7    1.7050596155886884E-7    -1.2915043264622606E7-598011.6860399661i          1.8827137956283588E7
3.3087224502121107E-24    1.8845011221180134E-7    -7.933319908910908E-8    -7665564.325908238-199930.9994845428i             9757396.249358438
-1.0587911840678754E-22   0                        -2.184438086758795E-7    -9143433.372382239-966876.4072010323i             9221820.465797925
6.6174449004242214E-24    7.412316040165247E-8     -9.059081845819273E-8    -6838485.604039785+21899.30674235614i             1.081304712654649E7
0                         1.1222187758084808E-7    -2.0359382100811807E-7   -1.1252435173377251E7-1438293.3954840538i         1.3155931756933086E7
-1.6543612251060553E-24   1.6148098076991665E-7    -8.194116355486126E-8    -7832741.983388078-250667.57186741068i            9401681.028577982
0                         1.1244237034527167E-7    -2.0569679271964817E-7   -1.2919427789995138E7-1773570.752295225i          1.5471056542080982E7
0                         1.114934002831982E-7     -2.0583860403134034E-7   -1.2319015575269729E7-1592004.4484120286i         1.3994310524641689E7
0                         2.0046547469079038E-7    1.684949217441033E-7     -1.0896091678717472E7-1078442.910693174i          1.4901552019288486E7
-3.3087224502121107E-24   1.1811756029585402E-7    1.0937180041687409E-7    -7597013.842694547-365922.6863243475i             9095941.31692221
0                         9.892122696120922E-8     2.0811770775040243E-7    -1.1184127322554277E7-1461082.6077769636i         1.326876749561577E7
-1.0587911840678754E-22   0                        2.1844380867587958E-7    -8583210.71877778-804610.8382181913i              9060097.078578914
8.271806125530277E-25     2.040893509695161E-7     1.7271580831706605E-7    -1.2185418537451735E7-1034553.094060493i          1.7359022736581627E7
0                         9.901265081548767E-8     2.086243933096728E-7     -1.2583540702615017E7-1622407.9985075383i         1.5510597954952722E7
-1.0339757656912846E-25   9.844532377288113E-8     2.0870917300429743E-7    -1.1992028881783403E7-1490925.7520803632i         1.3800638857598692E7
0                         4.3156852068532967E-7    -9.441573109727262E-8    -550820.3874503807+5028883.574945543i             8525694.711678054
3.3087224502121107E-24    4.0481067694876277E-7    -7.106334885445178E-8    -448454.80898093904+5036811.009029628i            7008553.247098945
0                         4.0481067694876277E-7    -1.2247503680099905E-7   -1448553.2168133974+5044355.477536767i            7710301.348313528
3.3087224502121107E-24    4.2236659387354457E-7    -3.3156600261566373E-7   -2443961.1764874305+1791776.9418497472i           1.2915452541116197E7
-3.3087224502121107E-24   4.0481067694876277E-7    -3.1657404149144293E-7   -2900709.8114571013+1786007.4263069972i           1.3105918638779178E7
-3.3087224502121107E-24   4.048106769487627E-7     -3.4115748411427057E-7   -2187068.2850602707+1749376.1553382936i           1.3137592285146594E7
0                         4.502508420350996E-7     -2.9324605695653366E-7   -2040694.0503238677+2100079.045422675i            1.133938657291443E7
0                         4.561468564307357E-7     -2.3347254581814542E-7   -1795225.2755369234+3406939.335553067i            9305054.650213009
-3.3087224502121107E-24   4.0481067694876277E-7    -2.218305523870462E-7    -2642404.385665427+3498424.7459275825i            1.02375461704261E7
0                         4.0481067694876277E-7    -2.491234228295679E-7    -2750454.3849627334+3286809.5003750203i           1.0496821053452015E7
0                         4.0481067694876277E-7    -1.847936517365227E-7    -2788968.635641104+3973328.4591103443i            9233214.825019779
0                         4.997136481438985E-7     -5.4578163674120465E-8   1196823.4956738264+4615027.036481698i             7828752.246220295
3.3087224502121107E-24    4.489461804632103E-7     -5.6775778379933294E-8   825568.6488097368+4643240.2288732575i             6482660.663759253
3.3087224502121107E-24    4.4989759452706147E-7    -1.6556817874517087E-8   955037.6133775571+4573158.9843196655i             6530138.556458231
3.3087224502121107E-24    5.064721380278715E-7     -9.25383604059818E-8     945018.7372968955+4521275.696552114i              7573924.8578134095
-3.3087224502121107E-24   4.814698782554942E-7     -7.107843754157303E-8    1143388.1318347198+4435576.779964379i             7343662.553341856
0                         4.0481067694876277E-7    2.3721473678056144E-8    285467.18443427404+5090650.484879201i             6736037.582478215
-3.3087224502121107E-24   4.0481067694876277E-7    -2.908572125757574E-8    51041.90574009484+5304754.278926987i              6773608.231492674
0                         4.375981764020514E-7     -1.443441900957181E-7    -335046.5550512562+4084187.57165563i              7014942.321749264
-3.3087224502121107E-24   4.993313195216967E-7     -2.159181114847459E-7    168508.96090182025+3373758.216682218i             8023291.229281729
0                         5.165759812286529E-7     -1.5276612097377223E-7   669569.2037508261+3941531.805797773i              8287272.596224073
0                         4.777461392223046E-7     -1.1661254719235383E-7   815379.3941279785+3912022.6184752025i             7959384.871211449
1.6543612251060553E-24    6.117018165168023E-7     -2.3743763663215706E-7   1678139.283171915+2318403.050495371i              7277659.86712352
-1.6543612251060553E-24   4.569758984411236E-7     -3.472823263841108E-7    -1464917.419819805+1647179.3675787027i            1.1570642648509772E7
-1.6543612251060553E-24   4.0481067694876277E-7    -3.9919901680121826E-7   -1539280.089797193+1110892.2379268345i            1.4190677737675307E7
3.3087224502121107E-24    5.081525458428524E-7     -3.9970774983858666E-7   227010.46796907907+372935.0684759645i             9406745.412766865
3.3087224502121107E-24    4.962314594314798E-7     -4.457236684465527E-7    13993.369110159818+8551.67496608411i              9631134.342456438
3.3087224502121107E-24    4.2957613825231527E-7    -4.457236684465527E-7    -168344.39929198482+4522.112110457229i            1.2132302666851975E7
3.3087224502121107E-24    4.0481067694876277E-7    -4.457236684465527E-7    -13407.22710290367+10236.074758040104i            1.391302704209279E7
3.3087224502121107E-24    7.584990733679616E-7     -3.525345509788203E-7    1355451.7095200054+223730.97661805665i            5635181.8628327
1.6543612251060553E-24    6.455923658273635E-7     -2.9779599197226205E-7   1523099.5376788806+1228482.601701398i             6773625.585447146
-1.3234889800848443E-23   6.594171668704031E-7     -4.457236684465528E-7    -28345.759056001356+30163.729743410368i           6011446.097270894
0                         7.115433440389336E-7     -4.4572366844655277E-7   -33723.9726967092+11493.395627523058i             5534796.656419386
0                         6.13672952558064E-7      -4.457236684465528E-7    -4848.636313978888+6499.665494290111i             6403746.610735226
0                         5.835703006909465E-7     -3.9683597509188217E-7   261191.8541116036+454494.7626344397i              7162771.7748641465
1.6543612251060553E-24    5.073206154392238E-7     1.6639490242751647E-8    1366649.7711536714+4355404.253326063i             7138569.023791349
0                         4.872041077290517E-7     5.2308274107395806E-8    1007441.0807394783+4630767.798650704i             7473886.537987376
0                         4.0481067694876277E-7    1.360940974810027E-7     -1866009.7254078588+5121909.074534665i            7978181.9417047
0                         4.0481067694876277E-7    5.720766611629198E-8     -88782.46898493404+5005595.649336297i             6804975.97896984
0                         4.862892861970411E-7     7.59710070016916E-8      765814.6710654189+4632264.770765334i              7557684.122049021
6.6174449004242214E-24    1.7939660431371156E-7    5.0528916286388705E-9    -6985296.986347427+77500.44266059507i             9570679.478613883
0                         2.459427215263416E-7     5.2736472453813216E-8    -7391014.506830543+192295.71923389848i            9281281.79789666
3.3087224502121107E-24    1.5707454531081041E-7    6.25005572267353E-8      -7215574.722352333-14269.795366171616i            8465318.21434792
6.6174449004242214E-24    2.1433983851951722E-7    7.1700210684364934E-9    -7228554.438798033+48071.443035218574i            1.0367942328034567E7
0                         2.49260976348461E-7      5.607337329607634E-8     -6998050.553312106+304416.3988592317i             9114530.599538775
-1.3234889800848443E-23   6.246188711819906E-7     3.9309164022119866E-8    3015326.7954544746+3320282.2701405394i            7932471.666524194
0                         5.960440285226311E-7     2.988217108289382E-8     3040032.3699849686+3332061.9951443356i            7534440.153051828
-1.6543612251060553E-24   5.631430720862984E-7     6.27649824210615E-8      2419512.8893288164+3721545.4233418084i            7002028.660464469
-1.6543612251060553E-24   6.691471139469493E-7     -6.92448852235418E-8     3292886.2037063544+2648439.9589461223i            7562026.203234713
-1.6543612251060553E-24   4.4978337932055604E-7    1.5899387636454964E-7    -450117.3489056721+4046152.2330586566i            7122489.432832921
0                         5.281021162220563E-7     1.0122790767266414E-7    1729708.4204500394+3739305.1354752523i            7088673.188441776
0                         5.408635932871615E-7     1.6874223547965604E-7    1367126.1621767958+3495338.222144301i             7743069.473516588
0                         5.191967007498003E-7     7.363267056516884E-8     1864971.433496524+3927914.828382117i              7180609.860904479
0                         1.2144320308462883E-6    -4.4572366844655277E-7   -184111.24245925032-38844.17990311406i            4903399.893871657
0                         9.711902279227485E-7     -1.706099099539873E-7    3268569.677507975-654296.5012949046i              7000245.929812081
5.790264287871194E-24     9.829586933867662E-7     -1.6127963750351202E-7   3393701.980750099-1089251.3445336686i             6936529.003911863
1.3234889800848443E-23    1.214432030846288E-6     -1.0860767275448962E-7   728386.2808019776-2967749.6396719674i             6890931.606050728
1.3234889800848443E-23    9.682376450528536E-7     -1.6514818570509336E-7   3298797.92126606-501572.5670467099i               7067716.528739664
1.406207041340147E-23     9.726521862409165E-7     -1.6285283285125584E-7   3439814.6199893416-763148.0767465096i             7044111.428798017
1.6543612251060553E-24    9.626704923717386E-7     -1.6119038765285642E-7   3347199.9613928064-610899.5422213163i             6887041.058384314
1.6543612251060553E-24    9.754909361905512E-7     -1.5889962744497584E-7   3310056.084828678-902718.6849902746i              7040535.199617942
8.271806125530277E-25     9.387796828040267E-7     -1.92233150566557E-7     3028877.55605174-464210.9900992161i               6741539.625564329
6.6174449004242214E-24    8.550869066977325E-7     -3.054656588009247E-8    3878088.038456694+885255.0524793782i              8256993.867047519
-6.6174449004242214E-24   7.891679577345008E-7     -7.479479087737868E-8    4255995.298704919+1287923.4454705843i             8002367.009855998
1.3234889800848443E-23    7.97048117412347E-7      -6.302097202391355E-9    4343862.600134278+1225507.104467733i              8567893.351389442
6.6174449004242214E-24    7.520580860383995E-7     -1.3288742342409566E-8   4423356.517586293+1612236.8352982048i             8251741.332628969
0                         7.054127686436632E-7     -1.0157113773708578E-7   3630306.378378153+2193557.494089494i              7510331.19712271
3.3087224502121107E-24    5.052561387145081E-7     -2.446466948904555E-7    352850.58145204594+2693213.556345843i             7835712.223601167
0                         6.247238596707543E-7     -2.5434599037638164E-7   1736928.6689289974+2018976.9975435424i            7138710.236649138
0                         5.214366592560964E-7     -3.381466525268136E-7    -147335.0699348123+1922305.3080163877i            8535883.0939316
-1.6543612251060553E-24   6.30222716919134E-7      -2.3418625134157275E-7   1923294.1471442543+2175353.9826913388i            7205325.245782815
6.6174449004242214E-24    5.576046715284379E-7     -1.2432629581684775E-7   2094144.0912936763+3437122.0814150153i            7727860.23931094
0                         5.49458049142369E-7      -5.2424835329014184E-8   2534984.3372590775+3576046.48684274i              8146690.563809317
-1.6543612251060553E-24   6.772966468641454E-7     -1.1254496970161925E-7   3412565.0591079085+2542031.960700114i             7597294.415473278
0                         7.589645985661259E-7     -1.6652353284211032E-7   3515718.153439781+1176190.4682093041i             7702700.010393026
0                         7.894428415806573E-7     -2.946914164752046E-7    2134552.328615695+936983.0118004028i              5593439.026852641
-1.6543612251060553E-24   6.480993456055181E-7     -2.4946320709047333E-7   2114484.110626387+1893459.4373837083i             6695149.758310314
1.6543612251060553E-24    6.929039943739884E-7     -1.2131650012357304E-7   3610943.7531996397+2155951.045833212i             7433374.687379889
1.6543612251060553E-24    6.387782450892036E-7     -2.640761444177972E-7    1939544.5093581981+1665803.0311510363i            6743602.867731823
0                         7.742683920110035E-7     -3.156157027512449E-7    1752142.417666247+671568.6889671729i              5593011.647002134
-3.3087224502121107E-24   5.495370825295924E-7     -3.5901745045618887E-7   128838.34428589899+1221287.577720215i             7545045.7399988985
0                         8.518735131742949E-7     -4.457236684465528E-7    24762.435068456845+3343.3484619058836i            4014488.130060793
0                         8.064277864561567E-7     -3.349980882823954E-7    1619695.089343141+195623.61226159704i             5035408.190330968
-3.3087224502121107E-24   4.3658923736319153E-7    2.472402499771893E-7     -2858520.0717817796+2963151.6508002747i           1.16413902526062E7
0                         4.0481067694876277E-7    2.5753493727551003E-7    -2787232.051541015+2806319.07958266i              1.1503347397670032E7
0                         4.0481067694876277E-7    2.0714308067700738E-7    -3073762.005280089+3619161.456197454i             9644403.109397473
-2.6469779601696886E-23   7.245654816930181E-7     6.376431187878918E-8     3687365.008350831+2135694.356075047i              8299999.308557559
0                         6.930442476933175E-7     5.100816087261462E-8     3959039.284826181+2251349.235970536i              8133883.861907187
1.6543612251060553E-24    6.926043182087825E-7     -8.272410280721334E-8    3451353.863569157+2292421.1683625896i             7562002.651630377
0                         4.048106769487628E-7     2.79063042588469E-7      -2942348.03229544+2859917.690063265i              1.1552148916085519E7
3.3087224502121107E-24    4.0481067694876277E-7    3.379968755225224E-7     -2392833.159552941+1480609.9762811305i            1.3713511563047692E7
0                         4.7333691249732846E-7    3.3810438509062026E-7    -1097881.6081978334+1664596.4649699589i           1.0350479245443007E7
0                         4.7278923339143395E-7    3.314883455331893E-7     -1183026.0924861275+1765622.0918677363i           9909016.245567657
-3.3087224502121107E-24   4.0481067694876277E-7    3.6038578813905066E-7    -2255250.8033261606+1447063.0576664717i           1.3782568757806335E7
0                         4.0481067694876277E-7    4.099925578214459E-7     -1563426.3583015797+869288.7415988188i            1.428769213303371E7
0                         6.509859582013704E-7     1.3255461462843295E-7    2828918.0295520155+2712547.34897473i              7218411.35131194
0                         6.705836698145423E-7     1.485399450120071E-7     3137536.9656868516+2372656.0506773894i            7190095.618338819
0                         6.578698432351904E-7     1.5991641382153506E-7    2873929.290381481+2479369.7831272343i             7164273.442586644
0                         6.410384686553871E-7     1.6274714920797545E-7    2622278.56015116+2610736.395514377i               7171084.483365242
0                         4.788499947104467E-7     3.425026801200342E-7     -576842.2370816653+1529599.867753633i             9847283.256417133
1.6543612251060553E-24    4.2957613825231527E-7    4.457236684465527E-7     -24736.172154511198-42197.71040798343i            1.2240285564006245E7
0                         4.962314594314798E-7     4.457236684465528E-7     -13993.369110151767-8551.674966083772i            9766040.245474223
-6.6174449004242214E-24   5.643604176755028E-7     2.482016625425285E-7     1448483.316603329+1859967.2011603415i             7534932.03889807
0                         6.526453161246262E-7     1.8190332702945102E-7    2493119.916587278+2287809.692036629i              7137320.458664327
6.6174449004242214E-24    6.41117934249498E-7      2.923429392833327E-7     1151316.5430407978+1703721.29275805i              7352083.918925594
-6.6174449004242214E-24   5.761765813329171E-7     2.9910786931305563E-7    908003.4183906591+1893869.511388321i              7772795.494982194
0                         4.820829262188099E-7     3.355042066868296E-7     -707252.8459146995+1766228.410209085i             9576850.038672565
0                         4.211107416564642E-7     1.7500732835666212E-7    -1853677.3030800975+4105140.615407442i            7663679.455649292
3.3087224502121107E-24    4.0481067694876277E-7    1.622613169736564E-7     -3192148.941858651+5039438.3470643945i            8533803.503329445
0                         5.122042016630905E-7     2.1271907331504992E-7    315372.6734096991+3121785.6208625054i             9259347.368561635
0                         4.786782271399676E-7     3.345049319927811E-7     -906577.0255746657+1728763.806684772i             1.0077392614766821E7
6.6174449004242214E-24    9.170441589635832E-7     1.3913097951325565E-7    3343408.253638105-145007.81782083848i             7351677.7097666245
1.6543612251060553E-23    8.840109665589397E-7     1.555873715367559E-7     3852448.97691174-83172.8380254249i                7383924.818257898
0                         7.191376553515902E-7     1.6671927879709242E-7    3303513.7029939294+1802605.6558237565i            7085311.101462975
-6.6174449004242214E-24   8.582082660181202E-7     2.0329463399612063E-7    3494173.643985783+387496.5102852043i              6772969.787747537
1.9852334701272664E-23    9.168045775200016E-7     1.838839511341664E-7     3468971.3024227+51088.172812270415i               6961241.979643527
-1.3234889800848443E-23   8.947124546920311E-7     2.1609288361610416E-7    3190505.7742688153+418484.84894876985i            6477065.9560797475
5.293955920339377E-23     1.2144320308462883E-6    1.3163477256883595E-7    524999.1519215486-2872499.4985727402i             6943160.466306153
0                         1.2144320308462883E-6    4.4572366844655277E-7    -51096.26658637018-166843.47876254018i            4605645.450475887
-6.6174449004242214E-24   1.2047294125653607E-7    -5.4177059992643494E-8   -7481557.146073908-273215.11902676366i            9891578.859529212
0                         2.429292671279745E-7     5.948826477865517E-8     -7644251.996537732+41821.086672895864i            9706706.249576645
6.6174449004242214E-24    0                        4.436886207510373E-8     -6175906.041303386+293412.70924529067i            1.0178551542948253E7
6.6174449004242214E-24    5.812045785468935E-8     -2.552427027151395E-9    -6907188.93552196-84851.01036691893i              9438637.358515654
6.6174449004242214E-24    0                        -4.436886207510373E-8    -6161997.235079254+284077.24651073734i            9523010.814880082
0                         7.655579962140228E-8     6.542684884060526E-8     -7418524.538736841-155428.4476206614i             8480300.187052399
0                         6.866435007000858E-7     -1.0938876761640242E-7   3552300.2092338437+2302389.073693226i             7640261.870715141
0                         4.771927731982387E-7     3.36489827235441E-7      -917255.3722719371+1692735.3310507298i            1.0170179491816496E7
3.3087224502121107E-24    4.0481067694876277E-7    4.457236684465527E-7     13407.227102897934-10236.074758041195i            1.3863122675092898E7
0                         6.651249287303628E-7     1.6790702109120413E-7    2903843.2821577117+2339561.2756309775i            7047675.111297498
4.1359030627651384E-25    4.867723564772883E-7     3.418091714985628E-7     -205194.12051147336+1604441.466664956i            9297612.091403404
-6.6174449004242214E-24   6.136729525580642E-7     4.457236684465528E-7     79789.50634843433-14794.061012034239i             6294086.41059534
0                         6.881616988740355E-7     3.978295959370143E-7     581325.2322927386-157303.56238539735i             6231805.756495352
6.6174449004242214E-24    6.594171668704033E-7     4.457236684465528E-7     -271314.9223539873+91165.63291718297i             6106683.222641363
6.6174449004242214E-24    6.400077995513397E-7     4.145395176181685E-7     443601.0573232729-216553.0470365718i              6617288.382543692
6.6174449004242214E-24    7.115433440389337E-7     4.457236684465528E-7     33723.972696707446-11493.395627522223i            5611429.430567881
0                         6.653123572430028E-7     1.7967980069664388E-7    2702650.7673974223+2173027.8323208056i            7004657.151605493
6.6174449004242214E-24    7.079823640439226E-7     3.146782694854729E-7     1688338.0492895723+785244.8194724178i             6264708.758146526
0                         8.518735131742948E-7     4.457236684465527E-7     -111252.27560469386-21604.233752381322i           4112813.988855742
0                         7.868661569218205E-7     3.7218715107475933E-7    1062102.7407353837-309628.9714135145i             4966273.265151773
-3.3087224502121107E-24   3.713163589710846E-7     2.28719275193699E-8      -350579.0668736038+415453.43445049186i            3759770.2669530455
0                         3.258812924319995E-7     4.569473248067654E-8     -829022.8255429106+579609.1718403861i             5368473.323285363
3.3087224502121107E-24    3.341587528859366E-7     2.3248404524220318E-23   -726059.0169122844+268687.5977328798i             4745713.309356356
0                         3.67742134455443E-7      -2.622766939059858E-9    -262826.7338900715+831371.7603948833i             4455131.600163955
-3.3087224502121107E-24   4.0481067694876277E-7    -2.908572125757574E-8    76566.69386880739+885287.4846971963i              3400743.1373935677
1.6543612251060553E-24    3.349284580711162E-7     -4.838043261769996E-8    -678939.9445186288+771268.1789175796i             5453839.721563229
8.271806125530277E-25     3.251713317899763E-7     -4.5402139950156244E-8   -868525.4747207267+583957.6066711491i             5538146.907648694
0                         3.2584904163317056E-7    5.4761703028297576E-8    -615047.5516387929+741305.2345506768i             5358329.741287098
0                         3.24970696555981E-7      5.0869258428683064E-8    -533057.6526802649+647795.9321845927i             5445989.997433913
0                         3.221038368927431E-7     5.584714369209338E-8     -253257.32428140217+722591.6507822272i            5416130.812633091
0                         3.905486564586962E-7     1.5070927513429238E-7    -1143466.2656746234+560631.4712368266i            6107243.296339644
-1.6543612251060553E-24   3.695278543888481E-7     1.425007216743512E-7     -1718228.274652227+710908.3508498168i             6404224.663390521
-3.3087224502121107E-24   2.951442792554136E-7     1.024258598957873E-7     -1721502.4029218035+1164296.5598627124i           7413528.331591514
0                         4.0481067694876277E-7    5.720766611629198E-8     -78552.27215804142+953038.8483015414i             3676604.279575931
-8.271806125530277E-25    3.3156828818064024E-7    5.3161048325825355E-8    -886729.2418844353+745153.3640660435i             5370143.625222129
-3.3087224502121107E-24   3.538787295229262E-7     -1.2398315886083805E-7   -1695115.2120256112+765726.5281885334i            6170552.46268776
0                         4.0481067694876277E-7    -1.2247503680099905E-7   -261687.88060284973+791085.5301694287i            4815978.09952308
8.271806125530277E-25     3.3638825816599775E-7    -6.395905135374167E-8    -704742.7780373307+841612.4367051574i             5576203.081717172
0                         3.182396563385692E-7     -6.343381124083152E-8    -1107011.7945508098+929055.0888250399i            5986162.813386507
3.3087224502121107E-24    2.873933361043472E-7     -1.114077343861201E-7    -2150050.422886779+1105953.4233015405i            7774502.020643952
-3.3087224502121107E-24   3.015852552501473E-7     -1.6685527697298306E-7   -3320285.0734158596+675866.9710279749i            6891789.301868871
0                         3.232695709983424E-7     -5.53045889386516E-8     -809563.6934930976+756558.3859303603i             5661870.778597412
-3.3087224502121107E-24   2.623301555560212E-7     -1.838422404158222E-7    -6037665.0045194365+192039.76690018317i           9561938.00588369
0                         2.1845653395423077E-7    -1.6518554386307116E-7   -7047313.551743018-10273.637037971124i            1.2170611277208546E7
3.3087224502121107E-24    2.4663417250518805E-7    -1.4426116112124456E-7   -5470194.594991714+549902.5098224279i             1.0861984234035902E7
-3.3087224502121107E-24   3.0650930569558767E-7    -2.1794848318051102E-7   -4704234.163641279+214611.22652751347i            9188398.061532963
3.3087224502121107E-24    2.470772530883222E-7     -2.3543370847644549E-7   -8079065.180961599-557703.0279050148i             1.1350523484852076E7
0                         2.2069103669620642E-7    -2.2885546097923546E-7   -8320421.443618832-720625.5983238376i             1.195571908283326E7
8.271806125530277E-25     1.9445774481720757E-7    -2.8327782105937676E-7   -8179929.906838737-906592.0843816719i             1.037829055670002E7
0                         1.183621861921214E-7     -2.078816710009919E-7    -9823292.454954494-1208263.9014221916i            1.3604383043042138E7
-1.0339757656912846E-25   1.1513907745767914E-7    -2.0461885748524736E-7   -1.0090331047648016E7-1301079.038629132i          1.42189908910706E7
