% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 12:28
% Dimension:          3
% Nodes:              305
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1E-12                      ewfd.normE (V/m) @ lambda=1E-12
-3.3087224502121107E-24   3.11640147700064E-7      -1.1976618988071797E-8   3702179.6767193074+5205579.984457379i             3.043985538375394E7
8.271806125530277E-25     3.251713317899763E-7     -4.5402139950156244E-8   8674950.527361637-2857204.933521187i              2.3805294476410013E7
3.3087224502121107E-24    3.341587528859366E-7     2.3248404524220318E-23   -4924929.10056209+4378574.341169859i              1.9494098085829373E7
3.3087224502121107E-24    2.1377803373446657E-7    -8.98969548131277E-8     -2411858.9655978302-948234.1789904684i            2.9839516538583405E7
3.3087224502121107E-24    2.873933361043472E-7     -1.114077343861201E-7    -2148872.827938447-4788462.954438461i             2.084551351704091E7
0                         3.182396563385692E-7     -6.343381124083152E-8    2410831.6664190805-6793549.537444753i             2.3576115438839223E7
-1.6543612251060553E-24   1.99411942363288E-7      -1.1418858509067949E-7   -1403674.9917397166-1.0115701028303705E7i         4.364598314181245E7
0                         2.1845653395423077E-7    -1.6518554386307116E-7   -9414638.99612196-8258959.694498616i              2.833681701634144E7
3.3087224502121107E-24    2.4663417250518805E-7    -1.4426116112124456E-7   -1.4781468936045473E7-3632783.194641078i          2.5951177501508042E7
-1.0339757656912846E-25   1.1513907745767914E-7    -2.0461885748524736E-7   -5302916.358873163-453625.5772081795i             3.1870703535000205E7
4.1359030627651384E-25    2.5720174943636357E-7    5.1192065844283316E-8    5948016.376595532-5400473.20942265i               3.0023078232522216E7
0                         2.538559103127853E-7     5.584570174921412E-8     1.2947671766339304E7+3762860.525953414i           3.779491451677458E7
0                         3.24970696555981E-7      5.0869258428683064E-8    -1.5851945384749483E7+5281555.302744307i          3.040882883459463E7
0                         3.258812924319995E-7     4.569473248067654E-8     -1.4150380029221196E7+7014981.778625144i          2.900882195698361E7
-3.3087224502121107E-24   2.951442792554136E-7     1.024258598957873E-7     -1.3358129864646887E7+1.6302690743021352E7i       4.2615271330254E7
0                         3.221038368927431E-7     5.584714369209338E-8     -1.54777146285256E7+7587381.929587362i            2.9186499290684238E7
0                         2.5315329523993733E-7    6.001853845885086E-8     1.026716961995155E7-9307081.500325972i            3.519559912605084E7
0                         2.5085145295922413E-7    5.462592438847495E-8     1.360873763840181E7-4025384.425933556i            3.704157306508746E7
-1.6543612251060553E-24   1.8936295177487544E-7    -5.345153217925148E-8    2223630.5275248108-5459355.573168727i             3.8094887806096725E7
0                         3.0382501758412077E-7    -4.485991782714857E-8    3175216.1225478547-2671489.424573333i             2.3979361973281063E7
0                         3.232695709983424E-7     -5.53045889386516E-8     7719694.751002427-5289422.607514935i              2.839092283062683E7
3.3087224502121107E-24    2.3887937212247125E-7    -7.0981566033776E-9      -7502931.413928449+2718588.326342687i             3.185366567404995E7
0                         2.1590675670731769E-7    1.6443578411235084E-7    3997884.5810107994-5091843.037105034i             3.829384243651282E7
8.271806125530277E-25     2.0626333866638028E-7    1.6851892779815737E-7    2693785.986508796-1.1075403678337524E7i           3.48378151214227E7
