% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 11:45
% Dimension:          3
% Nodes:              886
% Expressions:        2
% Description:        Displacement field, Y-component, Displacement field, Z-component
% Length unit:        m
% X                       Y                        Z                        v (m) @ lambda=4E-9                               w (m) @ lambda=4E-9
-3.3087224502121107E-24   3.11640147700064E-7      -1.1976618988071797E-8   NaN                                               NaN
8.271806125530277E-25     3.251713317899763E-7     -4.5402139950156244E-8   NaN                                               NaN
3.3087224502121107E-24    3.341587528859366E-7     2.3248404524220318E-23   NaN                                               NaN
3.3087224502121107E-24    2.1377803373446657E-7    -8.98969548131277E-8     NaN                                               NaN
3.3087224502121107E-24    2.873933361043472E-7     -1.114077343861201E-7    NaN                                               NaN
0                         3.182396563385692E-7     -6.343381124083152E-8    NaN                                               NaN
-1.6543612251060553E-24   1.99411942363288E-7      -1.1418858509067949E-7   NaN                                               NaN
0                         2.1845653395423077E-7    -1.6518554386307116E-7   NaN                                               NaN
3.3087224502121107E-24    2.4663417250518805E-7    -1.4426116112124456E-7   NaN                                               NaN
3.3087224502121107E-24    2.1377803373446657E-7    -8.98969548131277E-8     NaN                                               NaN
-1.6543612251060553E-24   1.99411942363288E-7      -1.1418858509067949E-7   NaN                                               NaN
3.3087224502121107E-24    2.4663417250518805E-7    -1.4426116112124456E-7   NaN                                               NaN
3.3087224502121107E-24    2.873933361043472E-7     -1.114077343861201E-7    NaN                                               NaN
-1.0339757656912846E-25   1.1513907745767914E-7    -2.0461885748524736E-7   NaN                                               NaN
0                         2.1845653395423077E-7    -1.6518554386307116E-7   NaN                                               NaN
-1.6543612251060553E-24   1.99411942363288E-7      -1.1418858509067949E-7   NaN                                               NaN
4.1359030627651384E-25    2.5720174943636357E-7    5.1192065844283316E-8    NaN                                               NaN
0                         2.538559103127853E-7     5.584570174921412E-8     NaN                                               NaN
0                         3.24970696555981E-7      5.0869258428683064E-8    NaN                                               NaN
0                         3.258812924319995E-7     4.569473248067654E-8     NaN                                               NaN
-3.3087224502121107E-24   2.951442792554136E-7     1.024258598957873E-7     NaN                                               NaN
0                         3.221038368927431E-7     5.584714369209338E-8     NaN                                               NaN
0                         2.5315329523993733E-7    6.001853845885086E-8     NaN                                               NaN
0                         2.538559103127853E-7     5.584570174921412E-8     NaN                                               NaN
0                         2.5315329523993733E-7    6.001853845885086E-8     NaN                                               NaN
0                         3.221038368927431E-7     5.584714369209338E-8     NaN                                               NaN
0                         3.24970696555981E-7      5.0869258428683064E-8    NaN                                               NaN
4.1359030627651384E-25    2.5720174943636357E-7    5.1192065844283316E-8    NaN                                               NaN
0                         3.258812924319995E-7     4.569473248067654E-8     NaN                                               NaN
3.3087224502121107E-24    3.341587528859366E-7     2.3248404524220318E-23   NaN                                               NaN
0                         2.5085145295922413E-7    5.462592438847495E-8     NaN                                               NaN
4.1359030627651384E-25    2.5720174943636357E-7    5.1192065844283316E-8    NaN                                               NaN
0                         2.538559103127853E-7     5.584570174921412E-8     NaN                                               NaN
0                         2.5085145295922413E-7    5.462592438847495E-8     NaN                                               NaN
0                         2.5315329523993733E-7    6.001853845885086E-8     NaN                                               NaN
0                         2.538559103127853E-7     5.584570174921412E-8     NaN                                               NaN
-1.6543612251060553E-24   1.8936295177487544E-7    -5.345153217925148E-8    NaN                                               NaN
3.3087224502121107E-24    2.1377803373446657E-7    -8.98969548131277E-8     NaN                                               NaN
0                         3.182396563385692E-7     -6.343381124083152E-8    NaN                                               NaN
