# solnum  freq_Hz  freq_THz  exported_file
1  1.381206e+14  138.1206  opt_TE_Solution_1_solnum1_outer1_Ey_normE_abs.txt
2  1.620999e+14  162.0999  opt_TE_Solution_1_solnum2_outer1_Ey_normE_abs.txt
3  1.880682e+14  188.0682  opt_TE_Solution_1_solnum3_outer1_Ey_normE_abs.txt
4  2.093883e+14  209.3883  opt_TE_Solution_1_solnum4_outer1_Ey_normE_abs.txt
5  2.116921e+14  211.6921  opt_TE_Solution_1_solnum5_outer1_Ey_normE_abs.txt
6  2.312592e+14  231.2592  opt_TE_Solution_1_solnum6_outer1_Ey_normE_abs.txt
7  2.372952e+14  237.2952  opt_TE_Solution_1_solnum7_outer1_Ey_normE_abs.txt
8  2.640672e+14  264.0672  opt_TE_Solution_1_solnum8_outer1_Ey_normE_abs.txt
9  2.647556e+14  264.7556  opt_TE_Solution_1_solnum9_outer1_Ey_normE_abs.txt
10  2.668144e+14  266.8144  opt_TE_Solution_1_solnum10_outer1_Ey_normE_abs.txt
11  2.833913e+14  283.3913  opt_TE_Solution_1_solnum11_outer1_Ey_normE_abs.txt
12  2.841922e+14  284.1922  opt_TE_Solution_1_solnum12_outer1_Ey_normE_abs.txt
13  2.912642e+14  291.2642  opt_TE_Solution_1_solnum13_outer1_Ey_normE_abs.txt
14  2.949264e+14  294.9264  opt_TE_Solution_1_solnum14_outer1_Ey_normE_abs.txt
15  3.056680e+14  305.6680  opt_TE_Solution_1_solnum15_outer1_Ey_normE_abs.txt
