% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 11:45
% Dimension:          3
% Nodes:              305
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1.1E-11                    ewfd.normE (V/m) @ lambda=1.1E-11
-3.3087224502121107E-24   3.11640147700064E-7      -1.1976618988071797E-8   1309467.5937352295-2844922.5359381256i            7407220.262632987
8.271806125530277E-25     3.251713317899763E-7     -4.5402139950156244E-8   1489767.6637273598-2779803.5784279457i            7180216.921611718
3.3087224502121107E-24    3.341587528859366E-7     2.3248404524220318E-23   1279791.2859092208-2695924.8402808853i            7425681.176065095
3.3087224502121107E-24    2.1377803373446657E-7    -8.98969548131277E-8     2777720.8653649194-3052857.5622443208i            6894739.161800464
3.3087224502121107E-24    2.873933361043472E-7     -1.114077343861201E-7    1849785.79306091-2815064.0700799134i              7944596.9720006455
0                         3.182396563385692E-7     -6.343381124083152E-8    1623900.408926867-2777411.309995618i              7228115.25848962
-1.6543612251060553E-24   1.99411942363288E-7      -1.1418858509067949E-7   3654058.4987065517-3145215.2635913524i            7346623.129784018
0                         2.1845653395423077E-7    -1.6518554386307116E-7   3714304.8058559867-2924687.9054036797i            8839261.359890293
3.3087224502121107E-24    2.4663417250518805E-7    -1.4426116112124456E-7   3509935.903349301-2802575.9287873153i             8438889.064238349
-1.0339757656912846E-25   1.1513907745767914E-7    -2.0461885748524736E-7   6510961.951751945-2117920.032699444i              8551804.844334187
4.1359030627651384E-25    2.5720174943636357E-7    5.1192065844283316E-8    2193233.2458957382-3029416.4490238153i            6918736.961359625
0                         2.538559103127853E-7     5.584570174921412E-8     2260757.9520842573-2855783.493008239i             6873532.996097151
0                         3.24970696555981E-7      5.0869258428683064E-8    1536170.3787479913-2736935.412459439i             7325598.410782611
0                         3.258812924319995E-7     4.569473248067654E-8     1509745.9634819007-2720687.7579222806i            7141072.797426109
-3.3087224502121107E-24   2.951442792554136E-7     1.024258598957873E-7     1664848.3128001178-2808559.5831649764i            7819439.063501838
0                         3.221038368927431E-7     5.584714369209338E-8     1623233.9564409666-2753221.699806521i             7207170.4072882375
0                         2.5315329523993733E-7    6.001853845885086E-8     2378936.3808840523-2978582.8360301084i            6946787.459560765
0                         2.5085145295922413E-7    5.462592438847495E-8     2417691.135190636-2870328.236150798i              6799512.186364464
-1.6543612251060553E-24   1.8936295177487544E-7    -5.345153217925148E-8    2974184.6605574875-3157514.95921546i              6843940.5760272695
0                         3.0382501758412077E-7    -4.485991782714857E-8    1811306.1370095566-2832690.7089927485i            7300156.765372999
0                         3.232695709983424E-7     -5.53045889386516E-8     1487060.8159000417-2791231.659106125i             7376669.689022765
3.3087224502121107E-24    2.3887937212247125E-7    -7.0981566033776E-9      2358807.1928533977-3058274.4889997616i            7443632.740763994
0                         2.1590675670731769E-7    1.6443578411235084E-7    3886985.0243667774-2673677.461520638i             8006477.738683288
8.271806125530277E-25     2.0626333866638028E-7    1.6851892779815737E-7    4455374.667910637-2680202.1613250216i             8589236.12617362
8.271806125530277E-25     2.478102917674804E-7     5.7999085052770066E-8    2344871.0647627576-3298514.0055122273i            7073294.523513232
8.271806125530277E-25     2.0848700466590606E-7    1.7050596155886884E-7    4415186.58924035-2319858.349576854i               8858943.838595062
3.3087224502121107E-24    1.8845011221180134E-7    -7.933319908910908E-8    2979520.2038177177-3033660.0049702497i            6872663.3005076945
-1.0587911840678754E-22   0                        -2.184438086758795E-7    7826104.31614764-1645775.3789144624i              8006453.404420637
6.6174449004242214E-24    7.412316040165247E-8     -9.059081845819273E-8    3784443.827042462-3186870.668828192i              5841997.9721263135
0                         1.1222187758084808E-7    -2.0359382100811807E-7   6652317.582913123-2008372.5339837403i             8659887.906886278
-1.6543612251060553E-24   1.6148098076991665E-7    -8.194116355486126E-8    3537087.016273648-3036026.0376937496i             6839475.7683294965
0                         1.1244237034527167E-7    -2.0569679271964817E-7   6795939.89979193-1975614.9222445572i              9033365.535147097
0                         1.114934002831982E-7     -2.0583860403134034E-7   6981252.066636707-1892026.539529943i              9176714.422195604
0                         2.0046547469079038E-7    1.684949217441033E-7     4382392.424694446-2819059.097032209i              8664164.204635838
-3.3087224502121107E-24   1.1811756029585402E-7    1.0937180041687409E-7    4003661.741094155-2976054.787782101i              6607676.38508096
