% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 12:03
% Dimension:          3
% Nodes:              357
% Expressions:        1
% Description:        Electric field, y-component
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=4E-12
3.3087224502121107E-24    2.909408219456692E-7     -9.116802241037532E-9    -1106982.1069534188+1049323.703312848i
0                         3.2456485463078355E-7    -4.6565295574875403E-8   -134391.8491836277+1338626.4742723547i
-3.3087224502121107E-24   3.3399999999999995E-7    2.3237673013821025E-23   139505.28543484327+1375538.4007741394i
0                         3.244222491082903E-7     4.763785119570128E-8     -188995.9697970468+1287252.14766277i
2.274746684520826E-24     2.1457445665613249E-7    7.513119464638829E-8     -3268682.1541735427+371930.0892388711i
-4.1359030627651384E-25   2.3137191849259872E-7    7.459854219388789E-8     -2844093.1823739544+524658.348777047i
5.583469134732937E-24     2.1546807526161548E-7    7.885366946571899E-8     -3310350.8103105677+360542.3576012251i
-4.1359030627651384E-24   2.1266302937631554E-7    7.841650960755042E-8     -3299647.729910999+387540.36673269473i
4.963083675318166E-24     2.134882250777196E-7     8.095135089960772E-8     -3134941.267721259+453586.8418786468i
0                         3.163900648998948E-7     6.520876694083002E-8     -209489.24292294224+1343825.926625241i
3.3087224502121107E-24    2.825435534890409E-7     1.1588092171619638E-7    -1354237.610052005+1142784.195414206i
0                         2.417815675611352E-7     1.4694938582000425E-7    -2733142.70896311+886345.9420638848i
0                         1.441492463204858E-7     -1.4983037208425967E-7   -5090268.520199661-243896.62968967212i
-3.3087224502121107E-24   1.3053269772374366E-7    -1.9855931543263272E-7   -6979064.86585539-911006.7901615296i
6.6174449004242214E-24    1.9534189390177093E-7    -1.762963768526468E-7    -4922899.751883367+127927.59736547277i
3.3087224502121107E-24    8.723907557817635E-8     -2.1034770269556345E-7   -8755323.706206948-1772882.8032133295i
6.6174449004242214E-24    9.079461477035323E-8     -1.5890299258642E-7      -6807785.910582414-1036853.3539616935i
0                         1.0185917752290108E-7    -9.033453138726522E-8    -5438394.875543965-669587.5438125997i
5.293955920339377E-23     0                        -2.1799999999999991E-7   -9693561.231084779-2249333.2260856777i
-9.926167350636332E-24    5.4729451025116196E-8    -9.194252576102937E-8    -5772287.424021402-777217.0405496132i
3.3087224502121107E-24    2.5498294835954666E-7    -7.02616853346351E-8     -2066312.1535968203+815062.9518557885i
-8.271806125530277E-25    3.047280241604408E-7     -5.389980015820028E-8    -679520.6521241929+1152573.6913653484i
3.3087224502121107E-24    2.4262951468959317E-7    -3.3727844817641724E-8   -2353937.7268749964+614925.3472224636i
-6.6174449004242214E-24   2.842388511482013E-7     -1.143672847943301E-7    -1269279.8364262572+1215241.2578126893i
8.271806125530277E-25     3.1734974094425616E-7    -6.47178657302182E-8     -301557.50834367797+1289193.413766318i
0                         3.225473848719573E-7     -5.6596895764559517E-8   -136789.54753605984+1345874.131396647i
0                         3.0727849354433177E-7    3.716187958667846E-8     -712479.2192844029+1152158.5162982936i
4.963083675318166E-24     1.9608915284010443E-7    -8.524725028083092E-8    -3830235.258210094+156542.16969009797i
-3.3087224502121107E-24   2.3687474334758368E-7    -1.5013343656633706E-7   -2863458.076782821+679384.0681541606i
-1.6543612251060553E-24   1.844986501477195E-7     -9.498502051979598E-8    -4249523.380176051+11564.204012428065i
0                         1.8647651061845574E-7    -8.149310160892542E-8    -4003985.3013299266+77313.61834768401i
0                         3.163330442293183E-7     5.306646607773194E-8     -223416.67907166696+1288357.0349771138i
0                         3.2286737959469416E-7    5.579691268901542E-8     255802.26671856892+1413554.4475883842i
-4.1359030627651384E-25   1.9958994130323732E-7    8.707457570639903E-8     -3553688.045090087+297221.61351578357i
0                         1.127542796764382E-7     1.6015247688143135E-7    -6701131.710669158-968332.6242809619i
6.6174449004242214E-24    1.9077053353123035E-7    1.7843893109443794E-7    -4879353.335583422+30386.780696779995i
-3.3087224502121107E-24   1.3457131188222352E-7    1.9764746760172172E-7    -7166490.076668419-939810.0268645519i
-6.6174449004242214E-24   9.16313733218809E-8      2.0955171772387743E-7    -8559269.662923176-1681718.0434545577i
0                         9.284097861045494E-8     1.6406606081566257E-7    -7194298.639779312-1199276.29054499i
5.293955920339377E-23     0                        2.1799999999999997E-7    -9808918.720188456-2378512.06499365i
0                         1.0110578132682427E-7    1.4502750844500253E-7    -6487848.475918156-933602.4990587356i
-1.6543612251060553E-24   8.347196322347463E-8     1.468051687236044E-7     -6686584.154869012-1001970.0713938298i
-3.3087224502121107E-24   5.262860403016093E-7     -3.671370149176759E-7    1955611.4846385529+1004443.9945534259i
6.6174449004242214E-24    5.326174360744307E-7     -4.454999999999999E-7    119377.78506056231-40902.4772385103i
4.963083675318166E-24     4.982054509356383E-7     -4.2188128458714213E-7   700736.8902711864+431649.00966507534i
-1.6543612251060553E-24   5.895251087508247E-7     -4.454999999999999E-7    33639.07250873348+80.69792952398893i
0                         4.406983669550136E-7     -4.454999999999999E-7    -30534.669468818192+2179.289464292777i
0                         4.0500000000000004E-7    -3.4694342761748135E-7   3415236.616997413+2113386.4976648143i
0                         4.0500000000000004E-7    -4.2015684848266105E-7   864452.6142578082+501371.120907128i
-1.6543612251060553E-24   4.6834749517382773E-7    -3.137342389695302E-7    4015757.5490262955+2222577.303678102i
-3.3087224502121107E-24   4.05E-7                  -3.121866787531193E-7    4326635.646250704+2763010.3618509597i
0                         5.088057071241112E-7     -2.969173048710213E-7    4258313.857713639+2151475.1976410486i
-3.3087224502121107E-24   4.2869941018243406E-7    -2.8124779152571903E-7   5164499.6649875445+3081673.3415907733i
0                         6.305278652133215E-7     -3.967511908904267E-7    1338455.6148260785+613486.9061165319i
0                         5.213935146841009E-7     -2.9250758040117066E-7   3961967.5368233672+2036268.8056808535i
0                         4.0500000000000004E-7    -2.397036580806863E-7    6558679.159200212+3857680.1136321174i
-1.6543612251060553E-24   4.750463203833237E-7     -2.658453244078209E-7    5294800.560131018+2829351.417441452i
3.3087224502121107E-24    4.40076569456082E-7      -1.931656489292975E-7    7164307.200298372+3882907.0012587067i
3.3087224502121107E-24    4.0500000000000004E-7    -2.107337597881088E-7    7259262.126860939+4227385.785438771i
3.3087224502121107E-24    4.1609298255046795E-7    -2.2640763205390853E-7   6675149.7943132855+3873417.510233358i
-1.6543612251060553E-24   4.0500000000000004E-7    -9.739946361074687E-8    8538605.015391909+4497697.635921949i
0                         4.05E-7                  -1.1714201167276451E-7   8547067.552210396+4623308.58382379i
1.6543612251060553E-24    4.3195813114958147E-7    -1.3077322704547869E-7   7994489.746598107+4216452.112737777i
