% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 11:45
% Dimension:          3
% Nodes:              305
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=5E-12                      ewfd.normE (V/m) @ lambda=5E-12
-3.3087224502121107E-24   3.11640147700064E-7      -1.1976618988071797E-8   -5695575.500037194+1.6633685004327334E7i          1.7646271899503864E7
8.271806125530277E-25     3.251713317899763E-7     -4.5402139950156244E-8   -5490638.950726847+1.6099034878647259E7i          1.739821598280399E7
3.3087224502121107E-24    3.341587528859366E-7     2.3248404524220318E-23   -5103032.507001971+1.5422890354704663E7i          1.6275225959080296E7
3.3087224502121107E-24    2.1377803373446657E-7    -8.98969548131277E-8     -8108398.853065133+2.0958324434996076E7i          2.3087217132237017E7
3.3087224502121107E-24    2.873933361043472E-7     -1.114077343861201E-7    -6550890.835767092+1.802794953655889E7i           2.0758712048090644E7
0                         3.182396563385692E-7     -6.343381124083152E-8    -5708234.343865082+1.6551612696245743E7i          1.8108188645142976E7
-1.6543612251060553E-24   1.99411942363288E-7      -1.1418858509067949E-7   -8617456.82994396+2.1727494058902454E7i           2.429061807838357E7
0                         2.1845653395423077E-7    -1.6518554386307116E-7   -8796188.832654692+2.17418383216937E7i            2.5228424846520968E7
3.3087224502121107E-24    2.4663417250518805E-7    -1.4426116112124456E-7   -7801560.673075051+2.0081692631500572E7i          2.337602463000109E7
-1.0339757656912846E-25   1.1513907745767914E-7    -2.0461885748524736E-7   -1.1485791340183467E7+2.5746627279301222E7i       2.898628009418417E7
4.1359030627651384E-25    2.5720174943636357E-7    5.1192065844283316E-8    -7036280.270321023+1.9110534381229624E7i          2.0652162170873817E7
0                         2.538559103127853E-7     5.584570174921412E-8     -7114547.795321466+1.9254313616709076E7i          2.0818551831296913E7
0                         3.24970696555981E-7      5.0869258428683064E-8    -5440096.4842705885+1.6002815196678255E7i         1.7303794115545202E7
0                         3.258812924319995E-7     4.569473248067654E-8     -5411699.191824709+1.5945909227642868E7i          1.7216442048403658E7
-3.3087224502121107E-24   2.951442792554136E-7     1.024258598957873E-7     -6104895.172048157+1.7218975930293806E7i          1.969490492168125E7
0                         3.221038368927431E-7     5.584714369209338E-8     -5519138.812156283+1.612128720771673E7i           1.7500679855721854E7
0                         2.5315329523993733E-7    6.001853845885086E-8     -7142793.976295948+1.9282891597345386E7i          2.091537674592052E7
0                         2.5085145295922413E-7    5.462592438847495E-8     -7161391.806484634+1.931824166345191E7i           2.087947660114468E7
-1.6543612251060553E-24   1.8936295177487544E-7    -5.345153217925148E-8    -8411007.708655609+2.16272892351212E7i            2.344941103986683E7
0                         3.0382501758412077E-7    -4.485991782714857E-8    -5943781.757073678+1.7015126905979168E7i          1.8409336764199518E7
0                         3.232695709983424E-7     -5.53045889386516E-8     -5555944.916560668+1.625901237413127E7i           1.7645036046575695E7
3.3087224502121107E-24    2.3887937212247125E-7    -7.0981566033776E-9      -7160532.090081898+1.9464269810162902E7i          2.0807329350128837E7
0                         2.1590675670731769E-7    1.6443578411235084E-7    -8648932.65965996+2.1461194532708168E7i           2.503396177389774E7
8.271806125530277E-25     2.0626333866638028E-7    1.6851892779815737E-7    -9279631.961261578+2.2525821811884437E7i          2.6137228864174157E7
8.271806125530277E-25     2.478102917674804E-7     5.7999085052770066E-8    -7310443.286162692+1.96270974410222E7i            2.1234051152895395E7
8.271806125530277E-25     2.0848700466590606E-7    1.7050596155886884E-7    -9275438.73179438+2.256717719465038E7i            2.63799362012257E7
3.3087224502121107E-24    1.8845011221180134E-7    -7.933319908910908E-8    -8518977.740909088+2.177181744361171E7i           2.3679793636171658E7
-1.0587911840678754E-22   0                        -2.184438086758795E-7    -1.2400625044833586E7+2.6871499080984145E7i       2.961793531363639E7
6.6174449004242214E-24    7.412316040165247E-8     -9.059081845819273E-8    -9512763.756039767+2.3502458913978267E7i          2.54525778937748E7
0                         1.1222187758084808E-7    -2.0359382100811807E-7   -1.170490944031314E7+2.6037757907883096E7i        2.9222636610350385E7
-1.6543612251060553E-24   1.6148098076991665E-7    -8.194116355486126E-8    -8899440.711967675+2.2406998651297987E7i          2.438045823164328E7
0                         1.1244237034527167E-7    -2.0569679271964817E-7   -1.1854240797478423E7+2.628776723873418E7i        2.9497848821015775E7
0                         1.114934002831982E-7     -2.0583860403134034E-7   -1.2062756791830339E7+2.6557400757435907E7i       2.9788053150295563E7
0                         2.0046547469079038E-7    1.684949217441033E-7     -9490076.211187193+2.2845278920732178E7i          2.636116272507153E7
-3.3087224502121107E-24   1.1811756029585402E-7    1.0937180041687409E-7    -9445348.26222283+2.325494050147538E7i            2.5346024913756456E7
0                         9.892122696120922E-8     2.0811770775040243E-7    -1.2043307462003237E7+2.6510940491291787E7i       2.967309650306545E7
-1.0587911840678754E-22   0                        2.1844380867587958E-7    -1.2348587652096197E7+2.6805010712747727E7i       2.9520281363515597E7
