% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jul 16 2026, 12:32
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Displacement field, Y-component, Displacement field, Z-component
% Length unit:        m
% X                       Y                        Z                        v (m) @ 8.8015 GHz                                w (m) @ 8.8015 GHz
0                         0                        -3.913059381630264E-7    5.710782697960437E-34                             -1.1975076873483833E-13
0                         0                        -3.753342672175967E-7    -6.282313276991282E-31                            -1.2041958550086725E-13
0                         0                        -3.593625962721671E-7    -1.4783088292792687E-30                           -1.203178372538316E-13
0                         0                        -3.4339092532673743E-7   -2.5125408995733702E-30                           -1.2036288451223668E-13
0                         0                        -3.2741925438130776E-7   NaN                                               NaN
0                         0                        -3.1144758343587815E-7   NaN                                               NaN
0                         0                        -2.954759124904485E-7    NaN                                               NaN
0                         0                        -2.7950424154501886E-7   NaN                                               NaN
0                         0                        -2.635325705995892E-7    NaN                                               NaN
0                         0                        -2.4756089965415953E-7   NaN                                               NaN
0                         0                        -2.3158922870872991E-7   NaN                                               NaN
0                         0                        -2.1561755776330025E-7   NaN                                               NaN
0                         0                        -1.996458868178706E-7    NaN                                               NaN
0                         0                        -1.8367421587244096E-7   NaN                                               NaN
0                         0                        -1.677025449270113E-7    NaN                                               NaN
0                         0                        -1.5173087398158168E-7   NaN                                               NaN
0                         0                        -1.3575920303615201E-7   NaN                                               NaN
0                         0                        -1.1978753209072235E-7   NaN                                               NaN
0                         0                        -1.0381586114529273E-7   NaN                                               NaN
0                         0                        -8.784419019986307E-8    NaN                                               NaN
0                         0                        -7.187251925443345E-8    NaN                                               NaN
0                         0                        -5.590084830900378E-8    NaN                                               NaN
0                         0                        -3.9929177363574116E-8   NaN                                               NaN
0                         0                        -2.39575064181445E-8     NaN                                               NaN
0                         0                        -7.985835472714834E-9    NaN                                               NaN
0                         0                        7.985835472714834E-9     NaN                                               NaN
0                         0                        2.3957506418144448E-8    NaN                                               NaN
0                         0                        3.9929177363574116E-8    NaN                                               NaN
0                         0                        5.590084830900378E-8     NaN                                               NaN
0                         0                        7.18725192544334E-8      NaN                                               NaN
0                         0                        8.784419019986301E-8     NaN                                               NaN
0                         0                        1.0381586114529268E-7    NaN                                               NaN
0                         0                        1.1978753209072235E-7    NaN                                               NaN
0                         0                        1.3575920303615201E-7    NaN                                               NaN
0                         0                        1.5173087398158168E-7    NaN                                               NaN
0                         0                        1.6770254492701124E-7    NaN                                               NaN
0                         0                        1.836742158724409E-7     NaN                                               NaN
0                         0                        1.9964588681787058E-7    NaN                                               NaN
0                         0                        2.1561755776330025E-7    NaN                                               NaN
0                         0                        2.3158922870872991E-7    NaN                                               NaN
0                         0                        2.475608996541595E-7     NaN                                               NaN
0                         0                        2.6353257059958914E-7    NaN                                               NaN
0                         0                        2.795042415450188E-7     NaN                                               NaN
0                         0                        2.954759124904485E-7     NaN                                               NaN
0                         0                        3.1144758343587815E-7    NaN                                               NaN
0                         0                        3.274192543813078E-7     NaN                                               NaN
0                         0                        3.433909253267374E-7     -2.4670836462980708E-30                           1.2241903673691079E-13
0                         0                        3.5936259627216704E-7    -1.4587458341294946E-30                           1.214796183766573E-13
0                         0                        3.753342672175967E-7     -6.23719722639957E-31                             1.205487713508689E-13
0                         0                        3.913059381630264E-7     -5.710782697993444E-34                            1.197507687348384E-13
0                         1.5398723929009728E-8    -3.913059381630264E-7    5.3694994722179217E-17                            -1.2313788202640463E-13
0                         1.5398723929009728E-8    -3.753342672175967E-7    3.946625898994173E-15                             -1.234386892374329E-13
0                         1.5398723929009728E-8    -3.593625962721671E-7    7.054507910522857E-15                             -1.2327736761678134E-13
0                         1.5398723929009728E-8    -3.4339092532673743E-7   1.027660302436932E-14                             -1.2385574037641865E-13
0                         1.5398723929009728E-8    -3.2741925438130776E-7   NaN                                               NaN
0                         1.5398723929009728E-8    -3.1144758343587815E-7   NaN                                               NaN
0                         1.5398723929009728E-8    -2.954759124904485E-7    NaN                                               NaN
0                         1.5398723929009728E-8    -2.7950424154501886E-7   NaN                                               NaN
0                         1.5398723929009728E-8    -2.635325705995892E-7    NaN                                               NaN
0                         1.5398723929009728E-8    -2.4756089965415953E-7   NaN                                               NaN
0                         1.5398723929009728E-8    -2.3158922870872991E-7   NaN                                               NaN
0                         1.5398723929009728E-8    -2.1561755776330025E-7   NaN                                               NaN
0                         1.5398723929009728E-8    -1.996458868178706E-7    NaN                                               NaN
0                         1.5398723929009728E-8    -1.8367421587244096E-7   NaN                                               NaN
0                         1.5398723929009728E-8    -1.677025449270113E-7    NaN                                               NaN
0                         1.5398723929009728E-8    -1.5173087398158168E-7   NaN                                               NaN
0                         1.5398723929009728E-8    -1.3575920303615201E-7   NaN                                               NaN
0                         1.5398723929009728E-8    -1.1978753209072235E-7   NaN                                               NaN
0                         1.5398723929009728E-8    -1.0381586114529273E-7   NaN                                               NaN
0                         1.5398723929009728E-8    -8.784419019986307E-8    NaN                                               NaN
0                         1.5398723929009728E-8    -7.187251925443345E-8    NaN                                               NaN
0                         1.5398723929009728E-8    -5.590084830900378E-8    NaN                                               NaN
0                         1.5398723929009728E-8    -3.9929177363574116E-8   NaN                                               NaN
0                         1.5398723929009728E-8    -2.39575064181445E-8     NaN                                               NaN
0                         1.5398723929009728E-8    -7.985835472714834E-9    NaN                                               NaN
