# solnum  freq_Hz  freq_THz  exported_file
1  1.648216e+14  164.8216  opt_TE_Solution_1_solnum1_outer1_Ey_normE_abs_grid50x50.txt
2  1.940599e+14  194.0599  opt_TE_Solution_1_solnum2_outer1_Ey_normE_abs_grid50x50.txt
3  2.060926e+14  206.0926  opt_TE_Solution_1_solnum3_outer1_Ey_normE_abs_grid50x50.txt
4  2.078226e+14  207.8226  opt_TE_Solution_1_solnum4_outer1_Ey_normE_abs_grid50x50.txt
5  2.086695e+14  208.6695  opt_TE_Solution_1_solnum5_outer1_Ey_normE_abs_grid50x50.txt
6  2.108306e+14  210.8306  opt_TE_Solution_1_solnum6_outer1_Ey_normE_abs_grid50x50.txt
7  2.124872e+14  212.4872  opt_TE_Solution_1_solnum7_outer1_Ey_normE_abs_grid50x50.txt
8  2.217894e+14  221.7894  opt_TE_Solution_1_solnum8_outer1_Ey_normE_abs_grid50x50.txt
9  2.232899e+14  223.2899  opt_TE_Solution_1_solnum9_outer1_Ey_normE_abs_grid50x50.txt
10  2.238276e+14  223.8276  opt_TE_Solution_1_solnum10_outer1_Ey_normE_abs_grid50x50.txt
11  2.267601e+14  226.7601  opt_TE_Solution_1_solnum11_outer1_Ey_normE_abs_grid50x50.txt
12  2.269000e+14  226.9000  opt_TE_Solution_1_solnum12_outer1_Ey_normE_abs_grid50x50.txt
