% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jul 16 2026, 12:32
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ 226.76+7.4755i THz                ewfd.normE (V/m) @ 226.76+7.4755i THz
0                         0                        -3.913059381630264E-7    -4469940.897639838-3402485.460610351i             5617586.575929033
0                         0                        -3.753342672175967E-7    -4476794.18554344-3403176.9612384196i             5623459.75438782
0                         0                        -3.593625962721671E-7    -4440961.299623914-3363168.390439953i             5570730.5523792645
0                         0                        -3.4339092532673743E-7   -4354812.324230599-3279421.656968719i             5451513.256286384
0                         0                        -3.2741925438130776E-7   -4251417.891298002-3156328.7224088265i            5294994.3428063905
0                         0                        -3.1144758343587815E-7   -3843542.83650338-2839762.95336724i               4778815.24725046
0                         0                        -2.954759124904485E-7    -3398206.5306253782-2510304.2406860166i           4224859.169912196
0                         0                        -2.7950424154501886E-7   -2969251.037575523-2197889.2443012577i            3694207.4731068467
0                         0                        -2.635325705995892E-7    -2718992.728854229-1987971.9735560985i            3368227.1341473837
0                         0                        -2.4756089965415953E-7   -2462536.55730902-1800398.5314353819i             3050495.2332495195
0                         0                        -2.3158922870872991E-7   -2217209.0108876135-1621500.309189668i            2746867.1337841256
0                         0                        -2.1561755776330025E-7   -1983010.0895900102-1451277.3068189593i           2457343.0441644634
0                         0                        -1.996458868178706E-7    -1886191.435646087-1349950.1574059501i            2319500.713383162
0                         0                        -1.8367421587244096E-7   -1725986.3413441814-1221421.2201181848i           2114449.9633383784
0                         0                        -1.677025449270113E-7    -1575280.6283822774-1101505.6907828294i           1922192.4578416753
0                         0                        -1.5173087398158168E-7   -1217271.0484194548-875225.5231311894i            1499255.9893695482
0                         0                        -1.3575920303615201E-7   -1124761.994916476-796521.2950550441i             1378236.4523856768
0                         0                        -1.1978753209072235E-7   -1011406.2274198087-709863.8218777485i            1235657.3968841257
0                         0                        -1.0381586114529273E-7   -901253.2897308425-626145.4666049872i             1097413.157202265
0                         0                        -8.784419019986307E-8    -794303.181849577-545366.2292367606i              963504.991522247
0                         0                        -7.187251925443345E-8    -690555.9037760124-467526.10977306793i            833935.3209688651
0                         0                        -5.590084830900378E-8    -590011.4555101485-392625.10821391i               708708.6800887855
0                         0                        -3.9929177363574116E-8   -492669.837051985-320663.224559286i               587833.7111170033
0                         0                        -2.39575064181445E-8     -155167.3186628649-114056.48110655605i            192576.67995744772
0                         0                        -7.985835472714834E-9    -78883.57052394049-54042.03961433369i             95619.87107438863
0                         0                        7.985835472714834E-9     9476.348674323148+12226.146256418804i             15468.672744637453
0                         0                        2.3957506418144448E-8    114161.0018923784+87406.96411059552i              143780.08112427313
0                         0                        3.9929177363574116E-8    221190.67405755387+164526.2742820367i             275670.4721568181
0                         0                        5.590084830900378E-8     330565.3651698495+243584.07677074202i             410617.4169541895
0                         0                        7.18725192544334E-8      442285.07522926456+324580.3715767112i             548605.9655011346
0                         0                        8.784419019986301E-8     556349.8042357992+407515.1586999442i              689633.0250527833
0                         0                        1.0381586114529268E-7    672759.5521894543+492388.43814044195i             833697.6604720317
0                         0                        1.1978753209072235E-7    782128.2534291237+576053.7047054433i              971371.4405503992
0                         0                        1.3575920303615201E-7    876495.1601105416+675570.1248220884i              1106633.977089686
0                         0                        1.5173087398158168E-7    1054584.9642494326+800852.0655294805i             1324202.9594000357
0                         0                        1.6770254492701124E-7    1238750.760997942+930952.8575461629i              1549573.0608288036
0                         0                        1.836742158724409E-7     1428992.5503560698+1065872.5008721356i            1782723.7298831712
0                         0                        1.9964588681787058E-7    1687176.6820627882+1220500.3152577304i            2082351.1173768507
0                         0                        2.1561755776330025E-7    1892190.4486273348+1377122.1726024766i            2340267.1155553763
0                         0                        2.3158922870872991E-7    2103920.577114381+1539918.134621768i              2607264.7844325854
0                         0                        2.475608996541595E-7     2375914.5696525816+1743092.5578334348i            2946751.0426674527
0                         0                        2.6353257059958914E-7    2685521.436595464+1973210.7249021637i             3332504.4563035
0                         0                        2.795042415450188E-7     3018758.228796857+2221474.615347849i              3748046.252457887
0                         0                        2.954759124904485E-7     3375624.9462567614+2487884.2291704915i            4193377.1253664047
