% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 14:34
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1.1E-11                    ewfd.normE (V/m) @ lambda=1.1E-11
0                         0                        -4.455E-7                25784.65062084954+107415.69158228116i             699127.3541515627
0                         0                        -4.2731632653061225E-7   1246828.3221362298+1067633.7982691498i            1641469.704894872
0                         0                        -4.091326530612245E-7    2370480.335858924+1631365.5594831407i             2877591.112608179
0                         0                        -3.9094897959183674E-7   3444027.0885259113+2099399.262533764i             4033460.0345147313
0                         0                        -3.72765306122449E-7     4467468.58013718+2471734.9074210157i              5105658.524331263
0                         0                        -3.545816326530612E-7    5440804.810692746+2748372.4941449035i             6095564.646087318
0                         0                        -3.3639795918367346E-7   6290283.4705067435+2729281.855605776i             6856868.497110709
0                         0                        -3.1821428571428575E-7   6966579.398184623+2421971.365211196i              7375579.557235717
0                         0                        -3.0003061224489794E-7   7300535.888060907+1606266.2674397663i             7475153.214134152
0                         0                        -2.8184693877551024E-7   7485721.678501957+624857.1981466088i              7511755.824444096
0                         0                        -2.636632653061224E-7    7530946.799900219-399887.7291102321i              7541556.198744413
0                         0                        -2.454795918367347E-7    7436211.252255699-1467968.5143307452i             7579720.928058016
0                         0                        -2.2729591836734696E-7   7201515.0355683835-2579385.157514939i             7649512.834051974
0                         0                        -2.091122448979592E-7    6559294.455720062-3861290.8745040866i             7611432.912032299
0                         0                        -1.9092857142857144E-7   5917456.130177886-4630919.672023668i              7514100.349430772
0                         0                        -1.7274489795918368E-7   5349686.656379285-5322311.000333885i              7546266.739634749
0                         0                        -1.5456122448979592E-7   4855986.034324275-5935464.859434776i              7668790.221614976
0                         0                        -1.3637755102040816E-7   4436354.264012847-6470381.2493263045i             7845194.240263169
