% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jul 16 2026, 12:32
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ 226.9+7.6307i THz                 ewfd.normE (V/m) @ 226.9+7.6307i THz
0                         0                        -3.913059381630264E-7    -70667.37205327209+52328.50262255697i             87932.64274224069
0                         0                        -3.753342672175967E-7    49431.71183420196+48898.86282137336i              69531.23700958492
0                         0                        -3.593625962721671E-7    181150.66431571578+57902.74541296672i             190179.62853151222
0                         0                        -3.4339092532673743E-7   309705.7728730787+65586.21121365996i              316574.1885439712
0                         0                        -3.2741925438130776E-7   482696.1299845587+149065.10511626798i             505189.03339779057
0                         0                        -3.1144758343587815E-7   516917.92736373155+86054.54097213785i             524031.99105774204
0                         0                        -2.954759124904485E-7    533293.1296115599+8788.911609434617i              533365.54731082
0                         0                        -2.7950424154501886E-7   540821.4202175883-74087.25560418639i              545872.4484796145
0                         0                        -2.635325705995892E-7    638952.4835517585-84182.02057379145i              644474.1180410943
0                         0                        -2.4756089965415953E-7   683118.807012303-103151.8561662437i               690862.9458325679
0                         0                        -2.3158922870872991E-7   720949.5061499998-125618.23766671515i             731811.5413495608
0                         0                        -2.1561755776330025E-7   752444.5809648503-151581.16507520605i             767560.8751290845
0                         0                        -1.996458868178706E-7    701013.6375939652-228437.80030874792i             737295.0214823253
0                         0                        -1.8367421587244096E-7   730409.9786321617-251617.47049270853i             772534.846037759
0                         0                        -1.677025449270113E-7    756959.6832284174-275333.48205354996i             805479.0427894437
0                         0                        -1.5173087398158168E-7   759603.8286704856-328351.7433921574i              827534.1950152451
0                         0                        -1.3575920303615201E-7   791350.6070726534-329766.115369691i               857310.6054168893
0                         0                        -1.1978753209072235E-7   817548.6756660565-333985.5982809113i              883137.7111993242
0                         0                        -1.0381586114529273E-7   839181.0053322816-339934.8457301787i              905417.2844893669
0                         0                        -8.784419019986307E-8    856247.5960713292-347613.8577174939i              924118.6827757397
0                         0                        -7.187251925443345E-8    868748.4478831978-357022.63424285577i             939249.1826247033
0                         0                        -5.590084830900378E-8    876683.560767889-368161.1753062652i               950850.5228076364
0                         0                        -3.9929177363574116E-8   880052.9347254015-381029.480907722i               958997.7232713328
0                         0                        -2.39575064181445E-8     898000.6922843838-386804.99534748704i             977764.4643619454
0                         0                        -7.985835472714834E-9    902305.6541673564-386408.1586623531i              981563.4256751884
0                         0                        7.985835472714834E-9     909262.881424548-380488.80720444873i              985662.5791539089
0                         0                        2.3957506418144448E-8    918216.5012506694-369708.41655434296i             989851.4314987579
0                         0                        3.9929177363574116E-8    921937.6022593437-361313.0439316146i              990210.1080956692
0                         0                        5.590084830900378E-8     920426.184450572-355302.6893362635i               986622.7050254925
0                         0                        7.18725192544334E-8      913682.2478243527-351677.35276828974i             979026.1541141145
0                         0                        8.784419019986301E-8     901705.7923806868-350437.0342276927i              967408.6266780875
0                         0                        1.0381586114529268E-7    884496.8181195743-351581.7337144728i              951811.0824871319
0                         0                        1.1978753209072235E-7    862761.8016036785-353156.93759452633i             932243.3957275156
0                         0                        1.3575920303615201E-7    929481.8675236611-275962.4277403692i              969583.3144086336
0                         0                        1.5173087398158168E-7    915965.3975123699-258419.33762329794i             951721.1584795506
0                         0                        1.6770254492701124E-7    896087.0531265123-244629.74636636482i             928878.743210452
0                         0                        1.836742158724409E-7     869846.8343660866-234593.6539695692i              900926.0223456175
