% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 15:01
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1.6E-11                    ewfd.normE (V/m) @ lambda=1.6E-11
0                         0                        -4.457236684465528E-7    -81800.99710758938-181636.00129594447i            199307.13158458692
0                         0                        -4.2753086565281595E-7   -267047.62952318473-1240671.2161869076i           1276801.8358652245
0                         0                        -4.0933806285907913E-7   -456612.0269034713-2223999.6936436538i            2285319.622166568
0                         0                        -3.9114526006534226E-7   -650494.1892484503-3131621.43366619i              3219698.748664304
0                         0                        -3.7295245727160544E-7   -848694.1165581192-3963536.4362545116i            4080271.518738685
0                         0                        -3.5475965447786856E-7   -1051211.8088324813-4719744.701408621i            4867642.597664461
0                         0                        -3.365668516841317E-7    -1258047.2660715347-5400246.229128517i            5582558.553115493
0                         0                        -3.1837404889039487E-7   -1766219.48683819-5979857.676809891i              6308171.343371235
0                         0                        -3.0018124609665805E-7   -1550952.224552658-5883263.108983059i             6156788.61097022
0                         0                        -2.819884433029212E-7    -1333789.6526963075-5669357.87850866i             5903287.107804251
0                         0                        -2.637956405091843E-7    -1114708.6358349635-5336710.011869096i            5546122.609620857
0                         0                        -2.456028377154475E-7    -893685.6604536885-4883864.134142262i             5086699.240611416
0                         0                        -2.2741003492171061E-7   -670696.8272018069-4309340.989006402i             4531186.794485789
0                         0                        -2.0921723212797377E-7   -822299.9883076116-3241351.579550566i             3344030.1034867563
0                         0                        -1.9102442933423692E-7   -824627.4533822758-2649995.566651115i             2775335.4644334987
0                         0                        -1.728316265405001E-7    -847579.0637086203-2108092.658293886i             2272101.4337370074
0                         0                        -1.5463882374676323E-7   -891154.8192866517-1615642.8544788812i            1845117.5423713503
0                         0                        -1.3644602095302636E-7   -955354.7201163657-1172646.1552060994i            1512548.064217553
0                         0                        -1.1825321815928954E-7   -1040178.7661977647-779102.5604755427i            1299604.811236189
0                         0                        -1.0006041536555267E-7   -1145626.9575308445-435012.0702872075i            1225437.320762242
0                         0                        -8.186761257181585E-8    -1271699.2941156114-140374.68464109878i           1279423.3649352477
0                         0                        -6.367480977807897E-8    -1418395.77595206+104809.59646278841i             1422262.8550128627
0                         0                        -4.5482006984342155E-8   -1585716.4030401928+300540.7730244516i            1613945.8687083845
0                         0                        -2.7289204190605282E-8   -1314046.1786176495+286397.96883740276i           1344894.47767988
0                         0                        -9.09640139686841E-9     -1274529.358520672+306038.47600860515i            1310757.2752148984
0                         0                        9.09640139686841E-9      -1276531.3671546602+307253.21879881714i           1312987.7652864782
0                         0                        2.7289204190605282E-8    -1320052.2045196113+290042.1972080462i            1351540.712971073
0                         0                        4.5482006984342155E-8    -1482295.9085118873+242534.88573036995i           1502006.768023142
0                         0                        6.367480977807897E-8     -1414182.0525444844+34349.070159208786i           1414599.143347589
0                         0                        8.18676125718158E-8      -1370377.1761741606-219445.63213880375i           1387836.4422524238
0                         0                        1.0006041536555261E-7    -1350881.2794009168-518849.22116366803i           1447095.2785970944
0                         0                        1.1825321815928954E-7    -1355694.3622247525-863861.6969153872i            1607533.587569949
0                         0                        1.3644602095302636E-7    -1384816.4246456684-1254483.0593939554i           1868540.6809258475
0                         0                        1.5463882374676318E-7    -1438247.4666636644-1690713.3085993764i           2219699.8146685283
0                         0                        1.728316265405001E-7     -1515987.48827874-2172552.444531652i              2649188.9681293294
0                         0                        1.9102442933423692E-7    -1618036.4894908955-2700000.4671907756i           3147704.6564368815
0                         0                        2.0921723212797374E-7    -1744394.4703001303-3273057.3765767524i           3708883.4786734893
0                         0                        2.2741003492171056E-7    -1088973.8770480726-4532372.046780604i            4661358.222163505
0                         0                        2.456028377154475E-7     -1093316.6974828208-4920653.53582345i             5040652.003521624
0                         0                        2.637956405091843E-7     -1099310.5731445733-5184796.705358992i            5300056.661218719
0                         0                        2.819884433029211E-7     -1106955.5040333297-5324801.555387225i            5438645.244191231
0                         0                        3.0018124609665805E-7    -1116251.4901490898-5340668.085908156i            5456074.870554651
0                         0                        3.1837404889039487E-7    -1127198.531491854-5232396.2969217785i            5352433.795708092
0                         0                        3.365668516841317E-7     -1138477.457112869-5463888.277332132i             5581236.96213677
0                         0                        3.547596544778685E-7     -896728.0311329367-4710573.833017698i             4795167.04590472
0                         0                        3.7295245727160544E-7    -670276.56602433-3881996.499960504i               3939437.459925842
0                         0                        3.9114526006534226E-7    -459123.0617870491-2978156.278160561i             3013338.48132132
0                         0                        4.093380628590791E-7     -263267.51842109516-1999053.1676178616i           2016314.2992149333
0                         0                        4.27530865652816E-7      -82709.93592646615-944687.168332403i              948300.996262713
0                         0                        4.457236684465528E-7     82549.68569683585+184941.7196958046i              202528.73942403324
0                         1.652288477341889E-8     -4.457236684465528E-7    -84764.14716696575-176874.48367117468i            851207.2767193139
0                         1.652288477341889E-8     -4.2753086565281595E-7   -291712.4972152128-1238276.704643111i             1523051.9153393118
0                         1.652288477341889E-8     -4.0933806285907913E-7   -502978.6122281506-2223972.188180831i             2439863.112455075
0                         1.652288477341889E-8     -3.9114526006534226E-7   -718562.4922057807-3133960.9342843415i            3342304.8411873383
