% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jul 16 2026, 12:32
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ 164.82+0.032625i THz              ewfd.normE (V/m) @ 164.82+0.032625i THz
0                         0                        -3.913059381630264E-7    5.467899154940402E7-616315.7758676733i            5.468246484930411E7
0                         0                        -3.753342672175967E-7    5.490123353085857E7-618963.4132735186i            5.490472255568586E7
0                         0                        -3.593625962721671E-7    5.4569358345887914E7-615582.0028478858i           5.4572830341518454E7
0                         0                        -3.4339092532673743E-7   5.375140731332539E7-606886.565335452i             5.375483326609985E7
0                         0                        -3.2741925438130776E-7   5.245573162553534E7-593205.2443684522i            5.245908570335681E7
0                         0                        -3.1144758343587815E-7   4.877982849861359E7-552244.8277107071i            4.878295442779053E7
0                         0                        -2.954759124904485E-7    4.5096916030398265E7-511123.1833158931i           4.50998124426401E7
0                         0                        -2.7950424154501886E-7   4.144371471051184E7-470295.34571309295i           4.1446383035416916E7
0                         0                        -2.635325705995892E-7    3.776831091230576E7-429493.8890959889i            3.7770752893864386E7
0                         0                        -2.4756089965415953E-7   3.536621687757783E7-402381.3987527102i            3.536850586357774E7
0                         0                        -2.3158922870872991E-7   3.294740625666174E7-375065.8939658065i            3.2949541020571586E7
0                         0                        -2.1561755776330025E-7   3.051187904955751E7-347547.3747352782i            3.051385836488909E7
0                         0                        -1.996458868178706E-7    2.823015021082043E7-321784.88553758455i           2.8231984103814688E7
0                         0                        -1.8367421587244096E-7   2.5552226278431334E7-291690.13435753586i          2.555389111111336E7
0                         0                        -1.677025449270113E-7    2.2874604160382587E7-261574.71168100822i          2.2876099685566667E7
0                         0                        -1.5173087398158168E-7   2.045246855036197E7-233852.91834969685i           2.045380544033227E7
0                         0                        -1.3575920303615201E-7   1.8241602079980273E7-208765.82645516645i          1.824279665003796E7
0                         0                        -1.1978753209072235E-7   1.6100067168094315E7-184340.0126894197i           1.610112244712855E7
0                         0                        -1.0381586114529273E-7   1.3953941149449851E7-159852.65193315723i          1.395485673422124E7
0                         0                        -8.784419019986307E-8    1.1803224024046883E7-135303.74418637907i          1.1803999511395633E7
0                         0                        -7.187251925443345E-8    9647915.791885404-110693.2894490851i              9648550.778828954
0                         0                        -5.590084830900378E-8    7488016.452965413-86021.28772127547i              7488510.536937365
0                         0                        -3.9929177363574116E-8   5323526.007286906-61287.73900294994i              5323878.786863217
0                         0                        -2.39575064181445E-8     3084056.949364123-35262.54282733282i              3084258.535507001
0                         0                        -7.985835472714834E-9    994297.7121812116-11359.888421496542i             994362.6036379989
0                         0                        7.985835472714834E-9     -1095102.1947981908+12574.894703238013i           1095174.390235917
0                         0                        2.3957506418144448E-8    -3180220.268139736+36503.55923153216i             3180429.760853609
0                         0                        3.9929177363574116E-8    -5263175.464172823+60401.02337430956i             5263522.038549423
0                         0                        5.590084830900378E-8     -7343967.782897454+84267.28713157013i             7344451.223332909
0                         0                        7.18725192544334E-8      -9422597.22431361+108102.35050331376i             9423217.315218136
0                         0                        8.784419019986301E-8     -1.1499063788421294E7+131906.21348954047i         1.1499820314219654E7
0                         0                        1.0381586114529268E-7    -1.3573367475220526E7+155678.87609025041i         1.3574260220352164E7
0                         0                        1.1978753209072235E-7    -1.5715978795673793E7+180129.87508317395i         1.5717011047841309E7
0                         0                        1.3575920303615201E-7    -1.8281803112457044E7+209145.26602831754i         1.828299939246693E7
0                         0                        1.5173087398158168E-7    -2.0552279232746046E7+234993.13406306904i         2.055362263528795E7
0                         0                        1.6770254492701124E-7    -2.280658872521256E7+260647.14463571884i          2.2808078091215827E7
0                         0                        1.836742158724409E-7     -2.504473158985659E7+286107.2977462667i           2.5046365760201305E7
0                         0                        1.9964588681787058E-7    -2.700823610526758E7+308605.162761926i            2.700999916076198E7
0                         0                        2.1561755776330025E-7    -2.9775251335228942E7+339666.2010572216i          2.9777188671938013E7
0                         0                        2.3158922870872991E-7    -3.2534859395320695E7+370625.03277500503i         3.2536970338189244E7
0                         0                        2.475608996541595E-7     -3.556846824490911E7+404612.26270561805i          3.557076952178908E7
0                         0                        2.6353257059958914E-7    -3.868195908595111E7+439468.4628156472i           3.868445542148688E7
0                         0                        2.795042415450188E-7     -4.1792130160684176E7+474268.04426112835i         4.179482113307072E7
0                         0                        2.954759124904485E-7     -4.489898146910829E7+509011.0070420614i           4.490186665572624E7
0                         0                        3.1144758343587815E-7    -4.908220402423974E7+555837.0484559321i           4.908535124353835E7
0                         0                        3.274192543813078E-7     -5.276549864713729E7+596785.2124187417i           5.2768873401568934E7
0                         0                        3.433909253267374E-7     -5.505519815859089E7+621913.0067936657i           5.505871066479608E7
0                         0                        3.5936259627216704E-7    -5.487872580637576E7+619216.005058421i            5.488221911140522E7
0                         0                        3.753342672175967E-7     -5.425234499650423E7+611608.2860660052i           5.4255792338839754E7
0                         0                        3.913059381630264E-7     -5.467899154940399E7+616315.7758677921i           5.468246484930408E7
0                         1.5398723929009728E-8    -3.913059381630264E-7    5.332024196809735E7-600971.2015743178i            5.332707922012883E7
0                         1.5398723929009728E-8    -3.753342672175967E-7    5.350816052439991E7-603254.8215259349i            5.351716197167682E7
0                         1.5398723929009728E-8    -3.593625962721671E-7    5.318851912589544E7-600001.6724731382i            5.320098822552117E7
0                         1.5398723929009728E-8    -3.4339092532673743E-7   5.338359819968533E7-602995.9118267228i            5.346969174764949E7
0                         1.5398723929009728E-8    -3.2741925438130776E-7   5.153671715978673E7-582903.7295055129i            5.1548482431684434E7
0                         1.5398723929009728E-8    -3.1144758343587815E-7   4.803591856172608E7-543922.6265869113i            4.8047380747961774E7
0                         1.5398723929009728E-8    -2.954759124904485E-7    4.4538907124905616E7-504925.0645425073i           4.45507639250915E7
0                         1.5398723929009728E-8    -2.7950424154501886E-7   4.0869818999565214E7-464148.5294557035i           4.088576540737807E7
0                         1.5398723929009728E-8    -2.635325705995892E-7    3.793404222357976E7-431226.7468737097i            3.793735946274588E7
0                         1.5398723929009728E-8    -2.4756089965415953E-7   3.512689883855957E7-399815.8523802772i            3.513002604907805E7
0                         1.5398723929009728E-8    -2.3158922870872991E-7   3.270618256811864E7-372479.05254197307i           3.2709265420591548E7
0                         1.5398723929009728E-8    -2.1561755776330025E-7   3.0268749711489573E7-344939.23826004425i          3.027182029857411E7
0                         1.5398723929009728E-8    -1.996458868178706E-7    2.775433670698161E7-316568.5997046157i            2.7757444015786007E7
0                         1.5398723929009728E-8    -1.8367421587244096E-7   2.5334380699872345E7-289310.82644053106i          2.533859574324915E7
0                         1.5398723929009728E-8    -1.677025449270113E-7    2.2721154592215717E7-259797.79760723817i          2.2725428088910867E7
0                         1.5398723929009728E-8    -1.5173087398158168E-7   2.0332649865793694E7-232563.55742229352i          2.034269630235371E7
0                         1.5398723929009728E-8    -1.3575920303615201E-7   1.814605222111373E7-207703.20635268977i           1.8158352525879726E7
0                         1.5398723929009728E-8    -1.1978753209072235E-7   1.6002013181458723E7-183250.30509658446i          1.6015580992746634E7
0                         1.5398723929009728E-8    -1.0381586114529273E-7   1.3853383035045225E7-158735.8568499636i           1.3868672397686541E7
0                         1.5398723929009728E-8    -8.784419019986307E-8    1.1700161781873198E7-134159.86161282676i          1.1717878718717007E7
0                         1.5398723929009728E-8    -7.187251925443345E-8    9542349.421942681-109522.31938517443i             9563680.274832103
0                         1.5398723929009728E-8    -5.590084830900378E-8    7379945.955253642-84823.23016700617i              7407119.538117508
0                         1.5398723929009728E-8    -3.9929177363574116E-8   5212951.381806101-60062.5939583223i               5250959.5405754745
0                         1.5398723929009728E-8    -2.39575064181445E-8     3130657.986825391-36084.66646918756i              3224228.651015754
0                         1.5398723929009728E-8    -7.985835472714834E-9    1149073.8304674388-13196.528956198556i            1332616.0531060423
0                         1.5398723929009728E-8    7.985835472714834E-9     -1067119.075101969+12296.669577542558i            1305428.2418016274
0                         1.5398723929009728E-8    2.3957506418144448E-8    -3125914.369331956+35913.618115460384i            3202348.968904787
0                         1.5398723929009728E-8    3.9929177363574116E-8    -5211963.73025088+59844.08616527397i              5258384.291289535
0                         1.5398723929009728E-8    5.590084830900378E-8     -7295850.213861339+83743.3538295707i              7329345.489037303
0                         1.5398723929009728E-8    7.18725192544334E-8      -9377573.820163324+107611.42110835043i            9403940.191658337
0                         1.5398723929009728E-8    8.784419019986301E-8     -1.1457134549156845E7+131448.28800161337i         1.1479021879152708E7
0                         1.5398723929009728E-8    1.0381586114529268E-7    -1.3663318598895589E7+156641.39284581013i         1.367712197646778E7
0                         1.5398723929009728E-8    1.1978753209072235E-7    -1.5851224290138986E7+181607.15676857493i         1.5860041126872636E7
0                         1.5398723929009728E-8    1.3575920303615201E-7    -1.8091755252717312E7+207118.47922687244i         1.8099592800888743E7
0                         1.5398723929009728E-8    1.5173087398158168E-7    -2.036440591597473E7+232990.65186769218i          2.0371521380593117E7
0                         1.5398723929009728E-8    1.6770254492701124E-7    -2.262088995140965E7+258668.96704640982i          2.262747616662512E7
0                         1.5398723929009728E-8    1.836742158724409E-7     -2.4861207359022103E7+284153.42476302583i         2.486740304492074E7
0                         1.5398723929009728E-8    1.9964588681787058E-7    -2.7214133848911114E7+310794.18480710057i         2.721760773408848E7
0                         1.5398723929009728E-8    2.1561755776330025E-7    -2.9801886582617536E7+339996.87545571994i         2.9803974739833854E7
0                         1.5398723929009728E-8    2.3158922870872991E-7    -3.256569491082506E7+371000.87226407096i          3.2567985652813382E7
0                         1.5398723929009728E-8    2.475608996541595E-7     -3.526589545071812E7+401277.42136452673i          3.527135586623246E7
0                         1.5398723929009728E-8    2.6353257059958914E-7    -3.8384063517919526E7+436184.0778599124i          3.8389593905715376E7
0                         1.5398723929009728E-8    2.795042415450188E-7     -4.1498911818812005E7+471034.1156907499i          4.150454345857892E7
0                         1.5398723929009728E-8    2.954759124904485E-7     -4.461044035339554E7+505827.5348570397i           4.461619786322829E7
0                         1.5398723929009728E-8    3.1144758343587815E-7    -4.784955880031212E7+541922.1784207466i           4.7872007817439586E7
0                         1.5398723929009728E-8    3.274192543813078E-7     -5.181800326806521E7+586077.4991919891i           5.183112474035379E7
0                         1.5398723929009728E-8    3.433909253267374E-7     -5.362524925344895E7+605725.1398247121i           5.3674341826878704E7
0                         1.5398723929009728E-8    3.5936259627216704E-7    -5.335291182425622E7+601929.1582344262i           5.339232620476006E7
0                         1.5398723929009728E-8    3.753342672175967E-7     -5.3172165681619585E7+599425.7871916282i          5.317815712364946E7
0                         1.5398723929009728E-8    3.913059381630264E-7     -5.332024196809733E7+600971.2015744353i           5.3326384796874024E7
0                         3.0797447858019456E-8    -3.913059381630264E-7    5.209216089202232E7-587212.9246797555i            5.211111682353191E7
0                         3.0797447858019456E-8    -3.753342672175967E-7    5.211508751794122E7-587546.2297783508i            5.214063390119916E7
0                         3.0797447858019456E-8    -3.593625962721671E-7    5.180767990590291E7-584421.34209839i              5.1847296984992E7
0                         3.0797447858019456E-8    -3.4339092532673743E-7   5.179418592693361E7-585023.9227962795i            5.201163535936814E7
0                         3.0797447858019456E-8    -3.2741925438130776E-7   5.10211082063024E7-577170.8746412889i             5.105281617275479E7
0                         3.0797447858019456E-8    -3.1144758343587815E-7   4.766435219874833E7-539818.3154742392i            4.769551220439444E7
0                         3.0797447858019456E-8    -2.954759124904485E-7    4.388737871251822E7-497988.07087704446i           4.394034928252757E7
0                         3.0797447858019456E-8    -2.7950424154501886E-7   4.094951681879267E7-465063.5968478311i            4.097309282827329E7
0                         3.0797447858019456E-8    -2.635325705995892E-7    3.800623312399585E7-432059.3191266365i            3.8012258577801235E7
0                         3.0797447858019456E-8    -2.4756089965415953E-7   3.505752762812779E7-398975.2377134615i            3.506084760858529E7
0                         3.0797447858019456E-8    -2.3158922870872991E-7   3.2464958879575554E7-369892.2111181397i           3.247099922014162E7
0                         3.0797447858019456E-8    -2.1561755776330025E-7   3.0022479587131187E7-342306.43924385065i          3.002915679694112E7
0                         3.0797447858019456E-8    -1.996458868178706E-7    2.746119214417866E7-313422.1915646584i            2.7466568307915878E7
