% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 2 2026, 12:47
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=2E-12                      ewfd.normE (V/m) @ lambda=2E-12
0                         0                        -3.1422538329827064E-7   6381.660487327119+857.5420873547534i              6439.019258170994
0                         0                        -3.013998574493616E-7    -4268420.818993018-912534.0181101909i             4364875.098123812
0                         0                        -2.8857433160045264E-7   -8453250.729913985-1799256.8547396874i            8642613.790521886
0                         0                        -2.757488057515436E-7    -1.254810807227561E7-2659310.9678011425i          1.2826805955380155E7
0                         0                        -2.6292327990263464E-7   -1.6552992846077858E7-3492696.357294549i          1.6917461393677343E7
0                         0                        -2.500977540537256E-7    -2.0964023379540145E7-4397365.967418016i          2.1420249851701356E7
0                         0                        -2.372722282048166E-7    -2.466343837714742E7-5123044.727518194i           2.5189894399609942E7
0                         0                        -2.244467023559076E-7    -2.8173219187715992E7-5778191.48392721i           2.8759655356488843E7
0                         0                        -2.116211765069986E-7    -3.1340935407991134E7-6336132.174837708i          3.197500278631553E7
0                         0                        -1.987956506580896E-7    -3.416658703797282E7-6796866.800249685i           3.483608858818264E7
0                         0                        -1.859701248091806E-7    -3.6650174077661105E7-7160395.360163145i          3.7343092020301536E7
0                         0                        -1.731445989602716E-7    -3.879169652705593E7-7426717.854578088i           3.949622586448877E7
0                         0                        -1.6031907311136257E-7   -3.9871260517522395E7-7461089.937430067i          4.056334895334162E7
0                         0                        -1.4749354726245356E-7   -3.9600383391163826E7-7160326.405381569i          4.024252277080511E7
0                         0                        -1.3466802141354456E-7   -3.930400892928292E7-6863075.885943515i           3.989870835665449E7
0                         0                        -1.2184249556463556E-7   -3.898323007516345E7-6569660.543899274i           3.953293142122394E7
0                         0                        -1.0901696971572656E-7   -3.8638337355599E7-6280034.722639951i             3.914536945441492E7
0                         0                        -9.619144386681756E-8    -3.826961670410087E7-5994153.48739613i            3.873620320461544E7
0                         0                        -8.336591801790855E-8    -3.8647873757778786E7-5995846.401172622i          3.91102073641097E7
0                         0                        -7.054039216899952E-8    -3.859460087106479E7-5870940.520749172i           3.903858551478229E7
