% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 14:34
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=4E-12                      ewfd.normE (V/m) @ lambda=4E-12
0                         0                        -4.455E-7                -75097.08918413371-25948.044052244277i            215824.46512626042
0                         0                        -4.2731632653061225E-7   -1330003.7535754403-361362.2671771808i            1378220.83595634
0                         0                        -4.091326530612245E-7    -2457268.9705494363-657278.9719821988i            2543656.1168198544
0                         0                        -3.9094897959183674E-7   -3541355.236728317-940144.2435557237i             3664023.4867415954
0                         0                        -3.72765306122449E-7     -4582262.552112081-1209958.0818977552i            4739317.319660967
0                         0                        -3.545816326530612E-7    -5579990.9167007385-1466720.487008296i            5769537.903287628
0                         0                        -3.3639795918367346E-7   -6569162.672043042-1731805.0041315567i            6793603.372592396
0                         0                        -3.1821428571428575E-7   -7517070.457953773-1992603.4536563759i            7776684.177293345
0                         0                        -3.0003061224489794E-7   -8244311.517097722-2152098.0607918273i            8520575.007252391
0                         0                        -2.8184693877551024E-7   -8810365.24594289-2267043.0922037847i             9097363.362470865
0                         0                        -2.636632653061224E-7    -9247143.105512988-2338661.8849093607i            9538290.990830809
0                         0                        -2.454795918367347E-7    -9554645.095808014-2366954.4389085546i            9843460.58166116
0                         0                        -2.2729591836734696E-7   -9732871.216827953-2351920.7542013633i            1.0013007208496414E7
0                         0                        -2.091122448979592E-7    -9124705.299906828-1955875.524913255i             9331971.70372384
0                         0                        -1.9092857142857144E-7   -8655039.909553029-1799742.1417184728i            8840180.292993639
0                         0                        -1.7274489795918368E-7   -8199937.856626461-1651464.8338340146i            8364587.075876858
0                         0                        -1.5456122448979592E-7   -7759399.141127157-1511043.6012598865i            7905158.303047024
0                         0                        -1.3637755102040816E-7   -7333423.763055086-1378478.4439960823i            7461856.800361616
0                         0                        -1.181938775510204E-7    -6922011.722410262-1253769.362042604i             7034641.703625125
0                         0                        -1.0001020408163265E-7   -6525163.019192684-1136916.3553994524i            6623468.217347658
0                         0                        -8.182653061224489E-8    -6142877.653402346-1027919.4240666265i            6228287.421678883
0                         0                        -6.364285714285713E-8    -5775155.625039257-926778.5680441273i             5849046.162205296
0                         0                        -4.545918367346937E-8    -5839380.184515906-900290.7518027358i             5908374.0891296435
0                         0                        -2.7275510204081612E-8   -5870705.731940877-911641.7761502867i             5941066.951235772
0                         0                        -9.091836734693906E-9    -5890742.429545468-916042.9408642852i             5961541.834186398
0                         0                        9.091836734693853E-9     -5899490.2773296805-913494.2459447314i            5969795.412715713
0                         0                        2.7275510204081612E-8    -5896949.275293515-903995.6913916266i             5965837.658320861
0                         0                        4.5459183673469424E-8    -5806889.147706179-890303.6944069472i             5874742.738369268
0                         0                        6.364285714285713E-8     -5980651.95958533-936121.7255041363i              6053471.875432535
0                         0                        8.182653061224494E-8     -5982966.741835329-903656.2973177485i             6050825.211290578
0                         0                        1.0001020408163265E-7    -6449943.309001341-1083733.5361027971i            6540355.27067185
0                         0                        1.1819387755102046E-7    -6924088.161591237-1266924.9844260777i            7039040.828525641
0                         0                        1.3637755102040816E-7    -7405401.299604994-1453230.6422875854i            7546644.7980460115
0                         0                        1.5456122448979587E-7    -7893882.723042635-1642650.509687325i             8062982.397483393
0                         0                        1.7274489795918368E-7    -8389532.431904148-1835184.586625295i             8587907.596903834
0                         0                        1.909285714285714E-7     -8892350.426189529-2030832.8731014926i            9121303.539550845
0                         0                        2.091122448979592E-7     -9402336.705898793-2229595.369115923i             9663075.651213488
0                         0                        2.272959183673469E-7     -9791765.822735548-2382602.6582412403i            1.0077473560091844E7
0                         0                        2.454795918367347E-7     -9595321.588175591-2389505.3324835645i            9888373.582873775
0                         0                        2.636632653061224E-7     -9278618.204895299-2357712.8606882636i            9573482.424158374
0                         0                        2.8184693877551024E-7    -8841655.672894645-2287225.2428553356i            9132703.561902396
0                         0                        3.0003061224489794E-7    -8284433.992173651-2178042.478984783i             8565962.62021639
0                         0                        3.1821428571428575E-7    -7614038.020575923-2034892.8338865936i            7881266.638312571
0                         0                        3.3639795918367346E-7    -6607375.556726603-1747020.527404887i             6834434.319737241
0                         0                        3.5458163265306127E-7    -5531236.880731035-1438378.3443090832i            5715200.232024818
0                         0                        3.72765306122449E-7      -4421222.716200187-1124283.7880024342i            4561932.084348654
0                         0                        3.909489795918368E-7     -3269673.020041124-799678.1908648276i             3366043.206337329
0                         0                        4.091326530612245E-7     -2076587.7922538698-464561.552896271i             2127917.8309716745
0                         0                        4.273163265306122E-7     -841967.0328384088-118933.87409675788i            850325.6733713135
0                         0                        4.455E-7                 23715.456182205515+9859.921007179433i             343196.13089959975
0                         1.6530612244897957E-8    -4.455E-7                -11048.619402342176-3269.6544683587217i           276629.62419048476
0                         1.6530612244897957E-8    -4.2731632653061225E-7   -1250152.228588923-333364.34317410534i            1371227.6947873118
0                         1.6530612244897957E-8    -4.091326530612245E-7    -2366352.4055589084-620855.4875541539i            2486220.18842266
0                         1.6530612244897957E-8    -3.9094897959183674E-7   -3439373.6317337807-895295.1987027102i            3589952.671957384
0                         1.6530612244897957E-8    -3.72765306122449E-7     -4469215.90711354-1156683.4766197742i             4658346.369894895
0                         1.6530612244897957E-8    -3.545816326530612E-7    -5455879.231698184-1405020.3213053448i            5686062.694591474
